Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"temporal-spectrometer-alc-alter","EN-029 Temporal Spectrometer (UR)","<p>Temporal Spectrometer is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-029.jpg","1","Temporal Spectrometer","15.31","17.01","shopify","g","YEN1ZXEJH4","Title","Default Title"
"magebane-lash-alc-alter","EN-036 Magebane Lash (UR)","<p>Magebane Lash is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-036.jpg","1","Magebane Lash","13.4","14.89","shopify","g","IY1QHU2ZL7","Title","Default Title"
"the-elysian-astrolabe-alc-alter","EN-039 The Elysian Astrolabe (UR)","<p>The Elysian Astrolabe is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-039.jpg","1","The Elysian Astrolabe","5.76","6.4","shopify","g","M59WPGO2MI","Title","Default Title"
"gloamspire-lance-alc-alter","EN-040 Gloamspire Lance (UR)","<p>Gloamspire Lance is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-040.jpg","1","Gloamspire Lance","5.81","6.45","shopify","g","F0IJJJ1UGI","Title","Default Title"
"the-eternal-kingdom-alc-alter","EN-089 The Eternal Kingdom (UR)","<p>The Eternal Kingdom is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-089.jpg","1","The Eternal Kingdom","10.93","12.14","shopify","g","AL40HUDZGQ","Title","Default Title"
"scry-the-stars-alc-alter","EN-186 Scry the Stars (UR)","<p>Scry the Stars is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-186.jpg","1","Scry the Stars","15.8","17.56","shopify","g","LY8DBMW89S","Title","Default Title"
"neos-elemental-alc-alter","EN-194 Neos Elemental (UR)","<p>Neos Elemental is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-194.jpg","1","Neos Elemental","3.79","4.21","shopify","g","NX7VK7GIZ7","Title","Default Title"
"carter-synthetic-reaper-alc-alter","EN-203 Carter, Synthetic Reaper (UR)","<p>Carter, Synthetic Reaper is an ultra rare card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/UR/EN-203.jpg","1","Carter, Synthetic Reaper","16.32","18.13","shopify","g","DIFEEQVRII","Title","Default Title"
"accompanying-guard-alc-alter","EN-215 Accompanying Guard (U)","<p>Accompanying Guard is an uncommon card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/U/EN-215.jpg","1","Accompanying Guard","0.65","0.72","shopify","g","FSW85DHMFQ","Title","Default Title"
"automated-gardener-alc-alter","EN-216 Automated Gardener (U)","<p>Automated Gardener is an uncommon card in Grand Archive's Alchemical Revolution Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC Alter/U/EN-216.jpg","1","Automated Gardener","0.94","1.04","shopify","g","09U7PWCJ56","Title","Default Title"
