Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-alc","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-001.jpg","1","Spirit of Fire","0.25","","shopify","g","GX83SFHVFI","Title","Default Title"
"spirit-of-water-alc","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-002.jpg","1","Spirit of Water","0.25","","shopify","g","SZDNE4N32L","Title","Default Title"
"spirit-of-wind-alc","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-003.jpg","1","Spirit of Wind","0.25","","shopify","g","8LBEWEMHUS","Title","Default Title"
"arisanna-herbalist-prodigy-alc","EN-004 Arisanna, Herbalist Prodigy (C)","<p>Arisanna, Herbalist Prodigy is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-004.jpg","1","Arisanna, Herbalist Prodigy","0.25","","shopify","g","8N4YW4GQ5W","Title","Default Title"
"arisanna-master-alchemist-alc","EN-005 Arisanna, Master Alchemist (C)","<p>Arisanna, Master Alchemist is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-005.jpg","1","Arisanna, Master Alchemist","0.25","","shopify","g","QWWVYFJO9I","Title","Default Title"
"arisanna-astral-zenith-alc","EN-006 Arisanna, Astral Zenith (C)","<p>Arisanna, Astral Zenith is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-006.jpg","1","Arisanna, Astral Zenith","0.25","","shopify","g","Z5DXAWDP7P","Title","Default Title"
"arisanna-lucent-arbiter-alc","EN-007 Arisanna, Lucent Arbiter (C)","<p>Arisanna, Lucent Arbiter is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-007.jpg","1","Arisanna, Lucent Arbiter","0.25","","shopify","g","XT5UAY6A7F","Title","Default Title"
"diana-keen-huntress-alc","EN-008 Diana, Keen Huntress (C)","<p>Diana, Keen Huntress is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-008.jpg","1","Diana, Keen Huntress","0.25","","shopify","g","3HMF1YYX0Q","Title","Default Title"
"diana-deadly-duelist-alc","EN-009 Diana, Deadly Duelist (C)","<p>Diana, Deadly Duelist is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-009.jpg","1","Diana, Deadly Duelist","0.25","","shopify","g","VGF2U82V5C","Title","Default Title"
"diana-cursebreaker-alc","EN-010 Diana, Cursebreaker (C)","<p>Diana, Cursebreaker is a common card in Grand Archive's Alchemical Revolution set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALC/C/EN-010.jpg","1","Diana, Cursebreaker","0.25","","shopify","g","HLIR23IJP6","Title","Default Title"
