Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-alcsd","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-001.jpg","1","Spirit of Fire","0.25","","shopify","g","0ISNC01FZ2","Title","Default Title"
"spirit-of-water-alcsd","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-002.jpg","1","Spirit of Water","0.25","","shopify","g","CJY7YP7NM6","Title","Default Title"
"spirit-of-wind-alcsd","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-003.jpg","1","Spirit of Wind","0.25","","shopify","g","T5VYGY62EC","Title","Default Title"
"arisanna-herbalist-prodigy-alcsd","EN-004 Arisanna, Herbalist Prodigy (C)","<p>Arisanna, Herbalist Prodigy is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-004.jpg","1","Arisanna, Herbalist Prodigy","0.25","","shopify","g","S7OJGO0APG","Title","Default Title"
"arisanna-master-alchemist-alcsd","EN-005 Arisanna, Master Alchemist (C)","<p>Arisanna, Master Alchemist is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-005.jpg","1","Arisanna, Master Alchemist","","","shopify","g","N30KL8MQVO","Title","Default Title"
"arisanna-astral-zenith-alcsd","EN-006 Arisanna, Astral Zenith (C)","<p>Arisanna, Astral Zenith is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-006.jpg","1","Arisanna, Astral Zenith","0.25","","shopify","g","AGGFJZ38T2","Title","Default Title"
"diana-keen-huntress-alcsd","EN-007 Diana, Keen Huntress (C)","<p>Diana, Keen Huntress is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-007.jpg","1","Diana, Keen Huntress","0.27","0.3","shopify","g","DRBENL9I00","Title","Default Title"
"diana-deadly-duelist-alcsd","EN-008 Diana, Deadly Duelist (C)","<p>Diana, Deadly Duelist is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-008.jpg","1","Diana, Deadly Duelist","0.27","0.3","shopify","g","JPXHVGX9R9","Title","Default Title"
"diana-duskstalker-alcsd","EN-009 Diana, Duskstalker (C)","<p>Diana, Duskstalker is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-009.jpg","1","Diana, Duskstalker","0.25","","shopify","g","HDQEUIQURZ","Title","Default Title"
"tonoris-lone-mercenary-alcsd","EN-010 Tonoris, Lone Mercenary (C)","<p>Tonoris, Lone Mercenary is a common card in Grand Archive's Alchemical Revolution Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ALCSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ALCSD/C/EN-010.jpg","1","Tonoris, Lone Mercenary","","","shopify","g","O17ZLIIHLA","Title","Default Title"
