Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"imperial-seal-amb-alter","EN-015 Imperial Seal (UR)","<p>Imperial Seal is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-015.jpg","1","Imperial Seal","23.75","26.39","shopify","g","4HOY9NZIML","Title","Default Title"
"dragons-dawn-amb-alter","EN-022 Dragon's Dawn (UR)","<p>Dragon's Dawn is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-022.jpg","1","Dragon's Dawn","5.43","6.03","shopify","g","2WE3YBSDDA","Title","Default Title"
"ebbing-tide-amb-alter","EN-025 Ebbing Tide (UR)","<p>Ebbing Tide is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-025.jpg","1","Ebbing Tide","4.97","5.53","shopify","g","NOAZ7JHAAN","Title","Default Title"
"sundering-moon-amb-alter","EN-028 Sundering Moon (UR)","<p>Sundering Moon is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-028.jpg","1","Sundering Moon","6.11","6.79","shopify","g","AOWYEGJGPE","Title","Default Title"
"mortal-ambition-amb-alter","EN-062 Mortal Ambition (UR)","<p>Mortal Ambition is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-062.jpg","1","Mortal Ambition","2.29","2.55","shopify","g","73XC9J8A7B","Title","Default Title"
"oath-of-the-sakura-amb-alter","EN-185 Oath of the Sakura (R)","<p>Oath of the Sakura is a rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/R/EN-185.jpg","1","Oath of the Sakura","1.77","1.97","shopify","g","CYZIFXYDGX","Title","Default Title"
"three-visits-amb-alter","EN-194 Three Visits (UR)","<p>Three Visits is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-194.jpg","1","Three Visits","23.5","26.11","shopify","g","CQLGF8ETYU","Title","Default Title"
"zhao-yun-dragonsblood-amb-alter","EN-214 Zhao Yun, Dragonsblood (UR)","<p>Zhao Yun, Dragonsblood is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-214.jpg","1","Zhao Yun, Dragonsblood","3.4","3.78","shopify","g","RTBCXCWN6D","Title","Default Title"
"dong-zhou-false-liege-amb-alter","EN-220 Dong Zhou, False Liege (UR)","<p>Dong Zhou, False Liege is an ultra rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/UR/EN-220.jpg","1","Dong Zhou, False Liege","5.43","6.03","shopify","g","RNHX8IUECZ","Title","Default Title"
"bairui-resplendent-barrier-amb-alter","EN-230 Bairui, Resplendent Barrier (SR)","<p>Bairui, Resplendent Barrier is a super rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/SR/EN-230.jpg","1","Bairui, Resplendent Barrier","12.16","13.51","shopify","g","XOODWUTAK8","Title","Default Title"
"blinding-lapse-amb-alter","EN-231 Blinding Lapse (R)","<p>Blinding Lapse is a rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/R/EN-231.jpg","1","Blinding Lapse","2.82","3.13","shopify","g","YG8WZRPLL0","Title","Default Title"
"equanimitys-ashes-amb-alter","EN-232 Equanimity's Ashes (U)","<p>Equanimity's Ashes is an uncommon card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/U/EN-232.jpg","1","Equanimity's Ashes","0.93","1.04","shopify","g","GHNPFUC6EM","Title","Default Title"
"floodward-sergeant-amb-alter","EN-233 Floodward Sergeant (U)","<p>Floodward Sergeant is an uncommon card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/U/EN-233.jpg","1","Floodward Sergeant","1.25","1.39","shopify","g","V7RUZQINXB","Title","Default Title"
"galvanizing-gale-amb-alter","EN-234 Galvanizing Gale (U)","<p>Galvanizing Gale is an uncommon card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/U/EN-234.jpg","1","Galvanizing Gale","0.95","1.05","shopify","g","8QJXL9SZLB","Title","Default Title"
"gustguard-bastion-amb-alter","EN-235 Gustguard Bastion (U)","<p>Gustguard Bastion is an uncommon card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/U/EN-235.jpg","1","Gustguard Bastion","1.06","1.18","shopify","g","GNQNRJXJFF","Title","Default Title"
"hailfinch-amb-alter","EN-236 Hailfinch (R)","<p>Hailfinch is a rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/R/EN-236.jpg","1","Hailfinch","2.36","2.62","shopify","g","ZP5NMXJUD9","Title","Default Title"
"herd-of-the-hearth-amb-alter","EN-237 Herd of the Hearth (R)","<p>Herd of the Hearth is a rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/R/EN-237.jpg","1","Herd of the Hearth","2.17","2.41","shopify","g","YXAON573AO","Title","Default Title"
"hua-xiong-insurgents-fang-amb-alter","EN-238 Hua Xiong, Insurgent’s Fang (SR)","<p>Hua Xiong, Insurgent’s Fang is a super rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/SR/EN-238.jpg","1","Hua Xiong, Insurgent’s Fang","","","shopify","g","XFK6RKDSE3","Title","Default Title"
"huang-zhong-unerring-aim-amb-alter","EN-239 Huang Zhong, Unerring Aim (SR)","<p>Huang Zhong, Unerring Aim is a super rare card in Grand Archive's Mortal Ambition Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB Alter, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB Alter/SR/EN-239.jpg","1","Huang Zhong, Unerring Aim","15.92","17.69","shopify","g","TNZLKBSZ8R","Title","Default Title"
