Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-amb","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-001.jpg","1","Spirit of Fire","0.25","","shopify","g","5UHXRXPNNC","Title","Default Title"
"spirit-of-water-amb","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-002.jpg","1","Spirit of Water","0.25","","shopify","g","X6ITUL8TD3","Title","Default Title"
"spirit-of-wind-amb","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-003.jpg","1","Spirit of Wind","0.25","","shopify","g","XV5IN4T3WC","Title","Default Title"
"jin-fate-defiant-amb","EN-004 Jin, Fate Defiant (C)","<p>Jin, Fate Defiant is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-004.jpg","1","Jin, Fate Defiant","0.25","","shopify","g","3Z8M7N5VOZ","Title","Default Title"
"jin-zealous-maverick-amb","EN-005 Jin, Zealous Maverick (C)","<p>Jin, Zealous Maverick is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-005.jpg","1","Jin, Zealous Maverick","0.25","","shopify","g","3VPI8D4GEV","Title","Default Title"
"jin-undying-resolve-amb","EN-006 Jin, Undying Resolve (C)","<p>Jin, Undying Resolve is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-006.jpg","1","Jin, Undying Resolve","0.25","","shopify","g","UFU5H2V9SO","Title","Default Title"
"kongming-wayward-maven-amb","EN-007 Kongming, Wayward Maven (C)","<p>Kongming, Wayward Maven is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-007.jpg","1","Kongming, Wayward Maven","0.25","","shopify","g","49W2FKZ531","Title","Default Title"
"kongming-ascetic-vice-amb","EN-008 Kongming, Ascetic Vice (C)","<p>Kongming, Ascetic Vice is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-008.jpg","1","Kongming, Ascetic Vice","0.25","","shopify","g","RN5TMP74G1","Title","Default Title"
"kongming-fel-eidolon-amb","EN-009 Kongming, Fel Eidolon (C)","<p>Kongming, Fel Eidolon is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-009.jpg","1","Kongming, Fel Eidolon","0.25","","shopify","g","C9QA31IFMI","Title","Default Title"
"crescent-glaive-amb","EN-010 Crescent Glaive (C)","<p>Crescent Glaive is a common card in Grand Archive's Mortal Ambition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMB, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMB/C/EN-010.jpg","1","Crescent Glaive","0.25","","shopify","g","SQE0A841AF","Title","Default Title"
