Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"nameless-champion-am-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","IWHNO3DOQZ","Title","Default Title"
"nameless-champion-ac-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","2VTRWNLIIP","Title","Default Title"
"nameless-champion-tw-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","YQBP7S4FLJ","Title","Default Title"
"nameless-champion-mr-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","B42JJI1QLK","Title","Default Title"
"nameless-champion-gm-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","BRZ7JQRRF6","Title","Default Title"
"nameless-champion-cr-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","92G6IUWXBR","Title","Default Title"
"nameless-champion-cw-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","AE9571KQTK","Title","Default Title"
"nameless-champion-gw-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","1NJYB8WMQ9","Title","Default Title"
"nameless-champion-ar-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","E6M1YC55KA","Title","Default Title"
"nameless-champion-cg-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","IGBTH5JTJ2","Title","Default Title"
"nameless-champion-rt-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","HOH8ADW0S7","Title","Default Title"
"nameless-champion-gt-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","N7BE3PLAHA","Title","Default Title"
"nameless-champion-at-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","30P9GR2AKZ","Title","Default Title"
"nameless-champion-mw-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","8MS5MS6SD2","Title","Default Title"
"nameless-champion-cm-ambdp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","XHVCGVNRUN","Title","Default Title"
"amorphous-missile-ambdp","EN-002 Amorphous Missile (C)","<p>Amorphous Missile is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-002.jpg","1","Amorphous Missile","2.01","2.24","shopify","g","KY97X0HFUX","Title","Default Title"
"bellonas-runestone-ambdp","EN-003 Bellona's Runestone (C)","<p>Bellona's Runestone is a common card in Grand Archive's Mortal Ambition Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBDP/C/EN-003.jpg","1","Bellona's Runestone","2.68","2.98","shopify","g","ILY8DL7URG","Title","Default Title"
