Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-water-ambsd","EN-001 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-001.jpg","1","Spirit of Water","0.25","","shopify","g","00L179VFUK","Title","Default Title"
"spirit-of-wind-ambsd","EN-002 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-002.jpg","1","Spirit of Wind","0.25","","shopify","g","3IJ34LF69R","Title","Default Title"
"jin-fate-defiant-ambsd","EN-003 Jin, Fate Defiant (C)","<p>Jin, Fate Defiant is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-003.jpg","1","Jin, Fate Defiant","0.25","","shopify","g","9IEE1II3WB","Title","Default Title"
"jin-zealous-maverick-ambsd","EN-004 Jin, Zealous Maverick (C)","<p>Jin, Zealous Maverick is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-004.jpg","1","Jin, Zealous Maverick","0.25","","shopify","g","ZFKO2EQI4Z","Title","Default Title"
"jin-undying-resolve-ambsd","EN-005 Jin, Undying Resolve (C)","<p>Jin, Undying Resolve is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-005.jpg","1","Jin, Undying Resolve","","","shopify","g","ZMY72OHBWR","Title","Default Title"
"kongming-wayward-maven-ambsd","EN-006 Kongming, Wayward Maven (C)","<p>Kongming, Wayward Maven is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-006.jpg","1","Kongming, Wayward Maven","0.25","","shopify","g","L32UPJQX6R","Title","Default Title"
"kongming-ascetic-vice-ambsd","EN-007 Kongming, Ascetic Vice (C)","<p>Kongming, Ascetic Vice is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-007.jpg","1","Kongming, Ascetic Vice","0.25","","shopify","g","3CGNAN9RSN","Title","Default Title"
"kongming-fel-eidolon-ambsd","EN-008 Kongming, Fel Eidolon (C)","<p>Kongming, Fel Eidolon is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-008.jpg","1","Kongming, Fel Eidolon","0.25","","shopify","g","SZXVTYBONB","Title","Default Title"
"bauble-of-abundance-ambsd","EN-009 Bauble of Abundance (C)","<p>Bauble of Abundance is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-009.jpg","1","Bauble of Abundance","0.25","","shopify","g","BVMB21UZKX","Title","Default Title"
"executioners-spear-ambsd","EN-010 Executioner's Spear (R)","<p>Executioner's Spear is a rare card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/R/EN-010.jpg","1","Executioner's Spear","0.37","0.41","shopify","g","8BFMTZWN5J","Title","Default Title"
"fan-of-seven-debts-ambsd","EN-011 Fan of Seven Debts (R)","<p>Fan of Seven Debts is a rare card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/R/EN-011.jpg","1","Fan of Seven Debts","0.59","0.66","shopify","g","VL856HQ82D","Title","Default Title"
"life-essence-amulet-ambsd","EN-012 Life Essence Amulet (C)","<p>Life Essence Amulet is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-012.jpg","1","Life Essence Amulet","0.25","","shopify","g","4G6KZ00RL9","Title","Default Title"
"safeguard-amulet-ambsd","EN-013 Safeguard Amulet (C)","<p>Safeguard Amulet is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-013.jpg","1","Safeguard Amulet","","","shopify","g","RDJXR5HD3X","Title","Default Title"
"shard-of-empowerment-ambsd","EN-014 Shard of Empowerment (C)","<p>Shard of Empowerment is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-014.jpg","1","Shard of Empowerment","0.33","0.36","shopify","g","28R9EBLWGH","Title","Default Title"
"slate-whetstone-ambsd","EN-015 Slate Whetstone (C)","<p>Slate Whetstone is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-015.jpg","1","Slate Whetstone","0.25","","shopify","g","IVY9IGZ410","Title","Default Title"
"steel-halberd-ambsd","EN-016 Steel Halberd (U)","<p>Steel Halberd is an uncommon card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/U/EN-016.jpg","1","Steel Halberd","0.25","","shopify","g","RBHWF845QG","Title","Default Title"
"tariff-ring-ambsd","EN-017 Tariff Ring (C)","<p>Tariff Ring is a common card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/C/EN-017.jpg","1","Tariff Ring","0.25","","shopify","g","U5AOO02E5K","Title","Default Title"
"sweet-ambrosia-ambsd","EN-018 Sweet Ambrosia (U)","<p>Sweet Ambrosia is an uncommon card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/U/EN-018.jpg","1","Sweet Ambrosia","0.27","0.3","shopify","g","BO837QLNIW","Title","Default Title"
"berserker-plate-ambsd","EN-019 Berserker Plate (SR)","<p>Berserker Plate is a super rare card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/SR/EN-019.jpg","1","Berserker Plate","0.36","0.4","shopify","g","HE5RZT9QE3","Title","Default Title"
"shuang-ji-of-sacrifice-ambsd","EN-020 Shuang Ji of Sacrifice (SR)","<p>Shuang Ji of Sacrifice is a super rare card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/SR/EN-020.jpg","1","Shuang Ji of Sacrifice","0.37","0.41","shopify","g","A4VRAPRHT6","Title","Default Title"
"coronal-of-rejuvenation-ambsd","EN-021 Coronal of Rejuvenation (SR)","<p>Coronal of Rejuvenation is a super rare card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/SR/EN-021.jpg","1","Coronal of Rejuvenation","0.45","0.5","shopify","g","11HV1Z4AMV","Title","Default Title"
"entrancing-filigree-ambsd","EN-022 Entrancing Filigree (SR)","<p>Entrancing Filigree is a super rare card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/SR/EN-022.jpg","1","Entrancing Filigree","0.25","0.26","shopify","g","4YL91CZFUT","Title","Default Title"
"ardent-cloudstriker-ambsd","EN-023 Ardent Cloudstriker (U)","<p>Ardent Cloudstriker is an uncommon card in Grand Archive's Mortal Ambition Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: AMBSD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/AMBSD/U/EN-023.jpg","1","Ardent Cloudstriker","0.26","0.29","shopify","g","MMF7RO4MZU","Title","Default Title"
