Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-doa1e","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-001.jpg","1","Spirit of Fire","0.35","0.39","shopify","g","ZQHCCKPK8L","Title","Default Title"
"spirit-of-water-doa1e","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-002.jpg","1","Spirit of Water","0.35","0.39","shopify","g","XHPXCITKPE","Title","Default Title"
"spirit-of-wind-doa1e","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-003.jpg","1","Spirit of Wind","0.25","","shopify","g","1DRFUJJONF","Title","Default Title"
"lorraine-wandering-warrior-doa1e","EN-004 Lorraine, Wandering Warrior (C)","<p>Lorraine, Wandering Warrior is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-004.jpg","1","Lorraine, Wandering Warrior","0.25","0.26","shopify","g","S28PBUBNBG","Title","Default Title"
"lorraine-blademaster-doa1e","EN-005 Lorraine, Blademaster (C)","<p>Lorraine, Blademaster is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-005.jpg","1","Lorraine, Blademaster","0.25","0.28","shopify","g","AJYTD7WX7F","Title","Default Title"
"lorraine-spirit-ruler-doa1e","EN-006 Lorraine, Spirit Ruler (C)","<p>Lorraine, Spirit Ruler is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-006.jpg","1","Lorraine, Spirit Ruler","0.4","0.44","shopify","g","CEKI1JV7DB","Title","Default Title"
"rai-spellcrafter-doa1e","EN-007 Rai, Spellcrafter (C)","<p>Rai, Spellcrafter is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-007.jpg","1","Rai, Spellcrafter","0.25","","shopify","g","SDEPSINWQF","Title","Default Title"
"rai-archmage-doa1e","EN-008 Rai, Archmage (C)","<p>Rai, Archmage is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-008.jpg","1","Rai, Archmage","0.25","","shopify","g","PIS3P5DL9U","Title","Default Title"
"rai-mana-weaver-doa1e","EN-009 Rai, Mana Weaver (C)","<p>Rai, Mana Weaver is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-009.jpg","1","Rai, Mana Weaver","0.28","0.31","shopify","g","KZGRKJ7QC1","Title","Default Title"
"silvie-wilds-whisperer-doa1e","EN-010 Silvie, Wilds Whisperer (C)","<p>Silvie, Wilds Whisperer is a common card in Grand Archive's Dawn of Ashes First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DOA 1st, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DOA 1st/C/EN-010.jpg","1","Silvie, Wilds Whisperer","0.25","","shopify","g","FLBJGRJPX7","Title","Default Title"
