Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-dtrsd","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-001.jpg","1","Spirit of Fire","","","shopify","g","P22GQCAKWJ","Title","Default Title"
"spirit-of-water-dtrsd","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-002.jpg","1","Spirit of Water","","","shopify","g","UO6TU4UBDA","Title","Default Title"
"ciel-loyal-valet-dtrsd","EN-003 Ciel, Loyal Valet (C)","<p>Ciel, Loyal Valet is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-003.jpg","1","Ciel, Loyal Valet","","","shopify","g","VO4BSHN6Q2","Title","Default Title"
"ciel-omenbringer-dtrsd","EN-004 Ciel, Omenbringer (C)","<p>Ciel, Omenbringer is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-004.jpg","1","Ciel, Omenbringer","","","shopify","g","QWI5NI3WJN","Title","Default Title"
"ciel-mirages-grave-dtrsd","EN-005 Ciel, Mirage's Grave (C)","<p>Ciel, Mirage's Grave is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-005.jpg","1","Ciel, Mirage's Grave","","","shopify","g","51UKUBRCTX","Title","Default Title"
"diana-aether-dilettante-dtrsd","EN-006 Diana, Aether Dilettante (C)","<p>Diana, Aether Dilettante is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-006.jpg","1","Diana, Aether Dilettante","","","shopify","g","AMA2RIZBYL","Title","Default Title"
"diana-judgments-arrow-dtrsd","EN-007 Diana, Judgment's Arrow (C)","<p>Diana, Judgment's Arrow is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-007.jpg","1","Diana, Judgment's Arrow","","","shopify","g","11J9F3T2LX","Title","Default Title"
"diana-moonpiercer-dtrsd","EN-008 Diana, Moonpiercer (C)","<p>Diana, Moonpiercer is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-008.jpg","1","Diana, Moonpiercer","","","shopify","g","W4WZK56SM1","Title","Default Title"
"bauble-of-abundance-dtrsd","EN-009 Bauble of Abundance (C)","<p>Bauble of Abundance is a common card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/C/EN-009.jpg","1","Bauble of Abundance","","","shopify","g","ODT97QKYNH","Title","Default Title"
"bulwark-sword-dtrsd","EN-010 Bulwark Sword (U)","<p>Bulwark Sword is an uncommon card in Grand Archive's Distorted Reflections Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: DTRSD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/DTRSD/U/EN-010.jpg","1","Bulwark Sword","","","shopify","g","Q4IKHZLVIJ","Title","Default Title"
