Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-serene-fire-ftc","EN-001 Spirit of Serene Fire (UR)","<p>Spirit of Serene Fire is an ultra rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/UR/EN-001.jpg","1","Spirit of Serene Fire","7.88","8.76","shopify","g","74WA3X7E22","Title","Default Title"
"spirit-of-serene-water-ftc","EN-002 Spirit of Serene Water (UR)","<p>Spirit of Serene Water is an ultra rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/UR/EN-002.jpg","1","Spirit of Serene Water","6.44","7.16","shopify","g","TJ2IQ0NZQS","Title","Default Title"
"spirit-of-serene-wind-ftc","EN-003 Spirit of Serene Wind (UR)","<p>Spirit of Serene Wind is an ultra rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/UR/EN-003.jpg","1","Spirit of Serene Wind","6.18","6.86","shopify","g","A20W97N2JN","Title","Default Title"
"merlin-kingslayer-ftc","EN-004 Merlin, Kingslayer (SR)","<p>Merlin, Kingslayer is a super rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/SR/EN-004.jpg","1","Merlin, Kingslayer","2.51","2.79","shopify","g","KSU5JKRYUF","Title","Default Title"
"azure-protective-trinket-ftc","EN-005 Azure Protective Trinket (U)","<p>Azure Protective Trinket is an uncommon card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/U/EN-005.jpg","1","Azure Protective Trinket","0.25","","shopify","g","P2GUQI4BBA","Title","Default Title"
"crimson-protective-trinket-ftc","EN-006 Crimson Protective Trinket (U)","<p>Crimson Protective Trinket is an uncommon card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/U/EN-006.jpg","1","Crimson Protective Trinket","0.25","","shopify","g","D3Y3OXX8AC","Title","Default Title"
"quicksilver-grail-ftc","EN-007 Quicksilver Grail (UR)","<p>Quicksilver Grail is an ultra rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/UR/EN-007.jpg","1","Quicksilver Grail","41.8","46.44","shopify","g","6OYTI67L58","Title","Default Title"
"tariff-ring-ftc","EN-008 Tariff Ring (C)","<p>Tariff Ring is a common card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/C/EN-008.jpg","1","Tariff Ring","0.25","","shopify","g","IP4D4VDTSC","Title","Default Title"
"tithe-proclamation-ftc","EN-009 Tithe Proclamation (C)","<p>Tithe Proclamation is a common card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/C/EN-009.jpg","1","Tithe Proclamation","0.25","","shopify","g","ZB14M4C8KI","Title","Default Title"
"viridian-protective-trinket-ftc","EN-010 Viridian Protective Trinket (U)","<p>Viridian Protective Trinket is an uncommon card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/U/EN-010.jpg","1","Viridian Protective Trinket","0.25","","shopify","g","YDUPMU6GVM","Title","Default Title"
"beastsoul-visage-ftc","EN-011 Beastsoul Visage (R)","<p>Beastsoul Visage is a rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/R/EN-011.jpg","1","Beastsoul Visage","0.25","","shopify","g","T96QRESW1U","Title","Default Title"
"explosive-rune-ftc","EN-012 Explosive Rune (R)","<p>Explosive Rune is a rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/R/EN-012.jpg","1","Explosive Rune","0.25","","shopify","g","GMMLP59EZ8","Title","Default Title"
"firetongue-ftc","EN-013 Firetongue (R)","<p>Firetongue is a rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/R/EN-013.jpg","1","Firetongue","0.25","","shopify","g","8JMOIZA4TH","Title","Default Title"
"varuckan-soulknife-ftc","EN-014 Varuckan Soulknife (SR)","<p>Varuckan Soulknife is a super rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/SR/EN-014.jpg","1","Varuckan Soulknife","0.25","","shopify","g","JXHKTRFO66","Title","Default Title"
"arondight-azure-blade-ftc","EN-015 Arondight, Azure Blade (SR)","<p>Arondight, Azure Blade is a super rare card in Grand Archive's Fractured Crown set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: FTC, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/FTC/SR/EN-015.jpg","1","Arondight, Azure Blade","0.61","0.68","shopify","g","PV3N1M3FXF","Title","Default Title"
