Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"art-of-war-hvn1e","EN-011 Art of War (UR)","<p>Art of War is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-011.jpg","1","Art of War","27.23","30.26","shopify","g","XLO9YS4SH6","Title","Default Title"
"huaji-of-heavens-rise-hvn1e","EN-014 Huaji of Heaven's Rise (UR)","<p>Huaji of Heaven's Rise is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-014.jpg","1","Huaji of Heaven's Rise","","","shopify","g","VXLRE1FGOQ","Title","Default Title"
"fabled-ruby-fatestone-hvn1e","EN-019 Fabled Ruby Fatestone (UR)","<p>Fabled Ruby Fatestone is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-019.jpg","1","Fabled Ruby Fatestone","","","shopify","g","PAD88GBRD6","Title","Default Title"
"fabled-sapphire-fatestone-hvn1e","EN-021 Fabled Sapphire Fatestone (UR)","<p>Fabled Sapphire Fatestone is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-021.jpg","1","Fabled Sapphire Fatestone","","","shopify","g","3WD5CJ6HUA","Title","Default Title"
"fabled-emerald-fatestone-hvn1e","EN-025 Fabled Emerald Fatestone (UR)","<p>Fabled Emerald Fatestone is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-025.jpg","1","Fabled Emerald Fatestone","","","shopify","g","S8KW1LR5X1","Title","Default Title"
"scepter-of-awakening-hvn1e","EN-029 Scepter of Awakening (UR)","<p>Scepter of Awakening is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-029.jpg","1","Scepter of Awakening","6.18","6.87","shopify","g","NZ1V23EHOK","Title","Default Title"
"jianyu-fates-premonition-hvn1e","EN-127 Jianyu, Fate's Premonition (UR)","<p>Jianyu, Fate's Premonition is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-127.jpg","1","Jianyu, Fate's Premonition","1.13","1.26","shopify","g","3L7C0TJTEW","Title","Default Title"
"harbinger-of-lightning-hvn1e","EN-185 Harbinger of Lightning (UR)","<p>Harbinger of Lightning is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-185.jpg","1","Harbinger of Lightning","1.43","1.58","shopify","g","DE9XTBA76X","Title","Default Title"
"annihilation-hvn1e","EN-190 Annihilation (UR)","<p>Annihilation is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-190.jpg","1","Annihilation","1","1.11","shopify","g","ULZPYEOIF4","Title","Default Title"
"glorious-presence-hvn1e","EN-196 Glorious Presence (UR)","<p>Glorious Presence is an ultra rare card in Grand Archive's Abyssal Heaven First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN 1st/UR/EN-196.jpg","1","Glorious Presence","0.53","0.59","shopify","g","5HMFTXNWCE","Title","Default Title"
