Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fortuitous-fire-hvn","EN-001 Spirit of Fortuitous Fire (SR)","<p>Spirit of Fortuitous Fire is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-001.jpg","1","Spirit of Fortuitous Fire","1.02","1.14","shopify","g","903RBHR6WZ","Title","Default Title"
"spirit-of-fortuitous-water-hvn","EN-002 Spirit of Fortuitous Water (SR)","<p>Spirit of Fortuitous Water is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-002.jpg","1","Spirit of Fortuitous Water","0.9","1","shopify","g","DYHXW5D9N5","Title","Default Title"
"spirit-of-fortuitous-wind-hvn","EN-003 Spirit of Fortuitous Wind (SR)","<p>Spirit of Fortuitous Wind is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-003.jpg","1","Spirit of Fortuitous Wind","0.99","1.1","shopify","g","UT6BWZQROX","Title","Default Title"
"diao-chan-enchantress-hvn","EN-004 Diao Chan, Enchantress (C)","<p>Diao Chan, Enchantress is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-004.jpg","1","Diao Chan, Enchantress","0.25","","shopify","g","0UESLSLE3W","Title","Default Title"
"diao-chan-dreaming-wish-hvn","EN-005 Diao Chan, Dreaming Wish (C)","<p>Diao Chan, Dreaming Wish is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-005.jpg","1","Diao Chan, Dreaming Wish","0.25","","shopify","g","UKHIOAUB17","Title","Default Title"
"diao-chan-idyll-corsage-hvn","EN-006 Diao Chan, Idyll Corsage (C)","<p>Diao Chan, Idyll Corsage is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-006.jpg","1","Diao Chan, Idyll Corsage","0.25","","shopify","g","XXQF9XZEIE","Title","Default Title"
"guo-jia-chosen-disciple-hvn","EN-007 Guo Jia, Chosen Disciple (C)","<p>Guo Jia, Chosen Disciple is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-007.jpg","1","Guo Jia, Chosen Disciple","0.25","","shopify","g","VF7UD232WI","Title","Default Title"
"guo-jia-blessed-scion-hvn","EN-008 Guo Jia, Blessed Scion (C)","<p>Guo Jia, Blessed Scion is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-008.jpg","1","Guo Jia, Blessed Scion","0.25","","shopify","g","AERW4I1S9O","Title","Default Title"
"guo-jia-heavens-favored-hvn","EN-009 Guo Jia, Heaven's Favored (C)","<p>Guo Jia, Heaven's Favored is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-009.jpg","1","Guo Jia, Heaven's Favored","0.25","","shopify","g","97KRLECAEI","Title","Default Title"
"kongming-erudite-strategist-hvn","EN-010 Kongming, Erudite Strategist (SR)","<p>Kongming, Erudite Strategist is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-010.jpg","1","Kongming, Erudite Strategist","0.36","0.4","shopify","g","7OYVVKGZDG","Title","Default Title"
"censer-of-restful-peace-hvn","EN-012 Censer of Restful Peace (R)","<p>Censer of Restful Peace is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-012.jpg","1","Censer of Restful Peace","7.52","8.36","shopify","g","5ZKJOMQU16","Title","Default Title"
"forged-scalemail-hvn","EN-013 Forged Scalemail (U)","<p>Forged Scalemail is an uncommon card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/U/EN-013.jpg","1","Forged Scalemail","0.25","","shopify","g","BWARH31AFQ","Title","Default Title"
"nullifying-mirror-hvn","EN-015 Nullifying Mirror (R)","<p>Nullifying Mirror is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-015.jpg","1","Nullifying Mirror","4.83","5.36","shopify","g","M14A9GPT6S","Title","Default Title"
"protective-helm-hvn","EN-016 Protective Helm (U)","<p>Protective Helm is an uncommon card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/U/EN-016.jpg","1","Protective Helm","0.25","","shopify","g","A1DSUAISOT","Title","Default Title"
"sword-saints-vow-hvn","EN-017 Sword Saint's Vow (R)","<p>Sword Saint's Vow is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-017.jpg","1","Sword Saint's Vow","0.25","0.26","shopify","g","ZCKMVHVM0E","Title","Default Title"
"tabula-of-salvage-hvn","EN-018 Tabula of Salvage (R)","<p>Tabula of Salvage is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-018.jpg","1","Tabula of Salvage","0.25","","shopify","g","7J48C6H78N","Title","Default Title"
"sigil-of-budding-embers-hvn","EN-020 Sigil of Budding Embers (R)","<p>Sigil of Budding Embers is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-020.jpg","1","Sigil of Budding Embers","0.25","","shopify","g","IC9RMV80HU","Title","Default Title"
"frostbitten-etui-hvn","EN-022 Frostbitten Etui (SR)","<p>Frostbitten Etui is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-022.jpg","1","Frostbitten Etui","0.27","0.3","shopify","g","ASMCRGT9TN","Title","Default Title"
"tidefate-brooch-hvn","EN-023 Tidefate Brooch (R)","<p>Tidefate Brooch is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-023.jpg","1","Tidefate Brooch","0.96","1.07","shopify","g","3340ND7ASX","Title","Default Title"
"bell-of-the-chosen-hvn","EN-024 Bell of the Chosen (R)","<p>Bell of the Chosen is a rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/R/EN-024.jpg","1","Bell of the Chosen","0.54","0.6","shopify","g","TP1DVID91M","Title","Default Title"
"windspire-crest-hvn","EN-026 Windspire Crest (SR)","<p>Windspire Crest is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-026.jpg","1","Windspire Crest","0.89","0.99","shopify","g","FOJH46KXTJ","Title","Default Title"
"enthralling-chime-hvn","EN-028 Enthralling Chime (SR)","<p>Enthralling Chime is a super rare card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/SR/EN-028.jpg","1","Enthralling Chime","0.32","0.36","shopify","g","UDRXU77S17","Title","Default Title"
"ameliorating-mantra-hvn","EN-030 Ameliorating Mantra (C)","<p>Ameliorating Mantra is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-030.jpg","1","Ameliorating Mantra","0.25","","shopify","g","PZ7V2ESOPG","Title","Default Title"
"annul-spell-hvn","EN-031 Annul Spell (U)","<p>Annul Spell is an uncommon card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/U/EN-031.jpg","1","Annul Spell","0.25","","shopify","g","FWT6OTUSTU","Title","Default Title"
"aphotic-ruin-hvn","EN-032 Aphotic Ruin (C)","<p>Aphotic Ruin is a common card in Grand Archive's Abyssal Heaven set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: HVN, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/HVN/C/EN-032.jpg","1","Aphotic Ruin","0.25","","shopify","g","87FU6LMP0O","Title","Default Title"
