Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"fragmented-spirit-of-fire-mrc-alter","EN-001 Fragmented Spirit of Fire (UR)","<p>Fragmented Spirit of Fire is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-001.jpg","1","Fragmented Spirit of Fire","","","shopify","g","Q72PQYYQRX","Title","Default Title"
"fragmented-spirit-of-water-mrc-alter","EN-002 Fragmented Spirit of Water (UR)","<p>Fragmented Spirit of Water is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-002.jpg","1","Fragmented Spirit of Water","","","shopify","g","R5Y1CSOAYT","Title","Default Title"
"fragmented-spirit-of-wind-mrc-alter","EN-003 Fragmented Spirit of Wind (UR)","<p>Fragmented Spirit of Wind is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-003.jpg","1","Fragmented Spirit of Wind","","","shopify","g","GOGSOGW386","Title","Default Title"
"mercurial-heart-mrc-alter","EN-012 Mercurial Heart (UR)","<p>Mercurial Heart is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-012.jpg","1","Mercurial Heart","","","shopify","g","ISBT44IJM6","Title","Default Title"
"shadows-claw-mrc-alter","EN-034 Shadow's Claw (UR)","<p>Shadow's Claw is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-034.jpg","1","Shadow's Claw","","","shopify","g","FN2NGUGUFF","Title","Default Title"
"overlord-mk-iii-mrc-alter","EN-063 Overlord Mk III (UR)","<p>Overlord Mk III is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-063.jpg","1","Overlord Mk III","","","shopify","g","R7VNGN0YJ3","Title","Default Title"
"prima-materia-mrc-alter","EN-165 Prima Materia (UR)","<p>Prima Materia is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-165.jpg","1","Prima Materia","","","shopify","g","9NZPN4DFBC","Title","Default Title"
"atmos-armor-type-ares-mrc-alter","EN-170 Atmos Armor Type-Ares (UR)","<p>Atmos Armor Type-Ares is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-170.jpg","1","Atmos Armor Type-Ares","","","shopify","g","OL9IOJ3RZF","Title","Default Title"
"final-stroke-mrc-alter","EN-180 Final Stroke (UR)","<p>Final Stroke is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-180.jpg","1","Final Stroke","","","shopify","g","NCSJSH8PVW","Title","Default Title"
"vampiric-slime-mrc-alter","EN-191 Vampiric Slime (UR)","<p>Vampiric Slime is an ultra rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/UR/EN-191.jpg","1","Vampiric Slime","","","shopify","g","GPTGPLSCK1","Title","Default Title"
"accursed-strength-mrc-alter","EN-192 Accursed Strength (R)","<p>Accursed Strength is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-192.jpg","1","Accursed Strength","","","shopify","g","OALYCUD1NC","Title","Default Title"
"armed-and-dangerous-mrc-alter","EN-193 Armed and Dangerous (U)","<p>Armed and Dangerous is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-193.jpg","1","Armed and Dangerous","","","shopify","g","PXITIMDBGP","Title","Default Title"
"winbless-lookout-mrc-alter","EN-194 Winbless Lookout (U)","<p>Winbless Lookout is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-194.jpg","1","Winbless Lookout","","","shopify","g","F1VUVYXHJK","Title","Default Title"
"charged-directive-mrc-alter","EN-195 Charged Directive (U)","<p>Charged Directive is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-195.jpg","1","Charged Directive","","","shopify","g","JJOPG7OUVL","Title","Default Title"
"counter-interference-mrc-alter","EN-196 Counter Interference (R)","<p>Counter Interference is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-196.jpg","1","Counter Interference","","","shopify","g","YXY1ZBTDVM","Title","Default Title"
"decompose-mrc-alter","EN-197 Decompose (R)","<p>Decompose is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-197.jpg","1","Decompose","","","shopify","g","B77LOJM73G","Title","Default Title"
"dorumegian-foundry-mrc-alter","EN-198 Dorumegian Foundry (U)","<p>Dorumegian Foundry is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-198.jpg","1","Dorumegian Foundry","","","shopify","g","E2RSG9X1O9","Title","Default Title"
"eternal-directive-mrc-alter","EN-199 Eternal Directive (U)","<p>Eternal Directive is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-199.jpg","1","Eternal Directive","","","shopify","g","8MDHIOOLMV","Title","Default Title"
"furnace-drone-mrc-alter","EN-200 Furnace Drone (R)","<p>Furnace Drone is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-200.jpg","1","Furnace Drone","","","shopify","g","BJ7YBY4NJU","Title","Default Title"
"hector-praetorian-guard-mrc-alter","EN-201 Hector, Praetorian Guard (SR)","<p>Hector, Praetorian Guard is a super rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/SR/EN-201.jpg","1","Hector, Praetorian Guard","","","shopify","g","TWORMLPZCF","Title","Default Title"
"moonveil-android-mrc-alter","EN-202 Moonveil Android (R)","<p>Moonveil Android is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-202.jpg","1","Moonveil Android","","","shopify","g","H8IELEKFWA","Title","Default Title"
"throne-sentinel-mrc-alter","EN-203 Throne Sentinel (R)","<p>Throne Sentinel is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-203.jpg","1","Throne Sentinel","","","shopify","g","4X8QE5PQ3J","Title","Default Title"
"punishing-cartridge-mrc-alter","EN-204 Punishing Cartridge (SR)","<p>Punishing Cartridge is a super rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/SR/EN-204.jpg","1","Punishing Cartridge","","","shopify","g","ELK1TEPCZD","Title","Default Title"
"radiant-repudiation-mrc-alter","EN-205 Radiant Repudiation (U)","<p>Radiant Repudiation is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-205.jpg","1","Radiant Repudiation","","","shopify","g","XJKRLQ9D5M","Title","Default Title"
"regal-expulsion-mrc-alter","EN-206 Regal Expulsion (R)","<p>Regal Expulsion is a rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/R/EN-206.jpg","1","Regal Expulsion","","","shopify","g","KYZXZNQOC2","Title","Default Title"
"scathing-seminary-mrc-alter","EN-207 Scathing Seminary (U)","<p>Scathing Seminary is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-207.jpg","1","Scathing Seminary","","","shopify","g","NSZ6SR7MPH","Title","Default Title"
"shield-fragmentation-mrc-alter","EN-208 Shield Fragmentation (U)","<p>Shield Fragmentation is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-208.jpg","1","Shield Fragmentation","","","shopify","g","CYBPTSWWER","Title","Default Title"
"tend-the-land-mrc-alter","EN-209 Tend the Land (U)","<p>Tend the Land is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-209.jpg","1","Tend the Land","","","shopify","g","I4WEHXACAT","Title","Default Title"
"vanguards-reversal-mrc-alter","EN-210 Vanguard's Reversal (U)","<p>Vanguard's Reversal is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-210.jpg","1","Vanguard's Reversal","","","shopify","g","KLRSK16NW9","Title","Default Title"
"volda-smolders-spite-mrc-alter","EN-211 Volda, Smolder's Spite (SR)","<p>Volda, Smolder's Spite is a super rare card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/SR/EN-211.jpg","1","Volda, Smolder's Spite","","","shopify","g","RAWHGSC8G1","Title","Default Title"
"baby-silver-slime-mrc-alter","EN-212 Baby Silver Slime (U)","<p>Baby Silver Slime is an uncommon card in Grand Archive's Mercurial Heart Alter Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: MRC Alter, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/MRC Alter/U/EN-212.jpg","1","Baby Silver Slime","","","shopify","g","LINBLHMXTT","Title","Default Title"
