Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-blade-ascension-p24","EN-042 Spirit Blade: Ascension (PR)","<p>Spirit Blade: Ascension is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-042.jpg","1","Spirit Blade: Ascension","46.29","51.44","shopify","g","85XB4Y7F32","Title","Default Title"
"frostbind-p24","EN-043 Frostbind (PR)","<p>Frostbind is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-043.jpg","1","Frostbind","","","shopify","g","ZQDD531D88","Title","Default Title"
"capricious-lynx-p24","EN-047 Capricious Lynx (PR)","<p>Capricious Lynx is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-047.jpg","1","Capricious Lynx","","","shopify","g","E4Z4PYX9BD","Title","Default Title"
"peaceful-reunion-p24","EN-048 Peaceful Reunion (PR)","<p>Peaceful Reunion is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-048.jpg","1","Peaceful Reunion","","","shopify","g","OPIZ01NZAQ","Title","Default Title"
"chilling-touch-p24","EN-053 Chilling Touch (PR)","<p>Chilling Touch is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-053.jpg","1","Chilling Touch","","","shopify","g","HNNMQ6AF09","Title","Default Title"
"into-the-fray-p24","EN-054 Into the Fray (PR)","<p>Into the Fray is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-054.jpg","1","Into the Fray","","","shopify","g","9KNOJ0A5UI","Title","Default Title"
"fireworks-display-p24","EN-055 Fireworks Display (PR)","<p>Fireworks Display is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-055.jpg","1","Fireworks Display","","","shopify","g","JYHLUSGP77","Title","Default Title"
"flame-rune-swordsman-p24","EN-112 Flame-Rune Swordsman (PR)","<p>Flame-Rune Swordsman is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-112.jpg","1","Flame-Rune Swordsman","","","shopify","g","0E0DASW1FE","Title","Default Title"
"reprogram-p24","EN-114 Reprogram (PR)","<p>Reprogram is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-114.jpg","1","Reprogram","","","shopify","g","CF1U44X3BF","Title","Default Title"
"fractal-of-rain-p24","EN-121 Fractal of Rain (PR)","<p>Fractal of Rain is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-121.jpg","1","Fractal of Rain","","","shopify","g","8HX5IT6XKU","Title","Default Title"
"revitalizing-cleanse-p24","EN-156 Revitalizing Cleanse (PR)","<p>Revitalizing Cleanse is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-156.jpg","1","Revitalizing Cleanse","","","shopify","g","SG3XCZN3TG","Title","Default Title"
"nascent-blast-p24","EN-158 Nascent Blast (PR)","<p>Nascent Blast is a promotional rare card in Grand Archive's Promotional 2024 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: P24, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/P24/PR/EN-158.jpg","1","Nascent Blast","","","shopify","g","NV6ZW1P0QZ","Title","Default Title"
