Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-prd","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-001.jpg","1","Spirit of Fire","","","shopify","g","WGBP5HZ6GI","Title","Default Title"
"spirit-of-water-prd","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-002.jpg","1","Spirit of Water","","","shopify","g","D5ZYHUTQF2","Title","Default Title"
"spirit-of-wind-prd","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-003.jpg","1","Spirit of Wind","","","shopify","g","F9MFALWHN0","Title","Default Title"
"dante-prodigal-swain-prd","EN-004 Dante, Prodigal Swain (C)","<p>Dante, Prodigal Swain is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-004.jpg","1","Dante, Prodigal Swain","","","shopify","g","5CEJGTVYVS","Title","Default Title"
"dante-aenean-initiate-prd","EN-005 Dante, Aenean Initiate (C)","<p>Dante, Aenean Initiate is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-005.jpg","1","Dante, Aenean Initiate","","","shopify","g","OASSZQVGNV","Title","Default Title"
"dante-hemomancer-prd","EN-006 Dante, Hemomancer (U)","<p>Dante, Hemomancer is an uncommon card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/U/EN-006.jpg","1","Dante, Hemomancer","","","shopify","g","WICXLF7WCG","Title","Default Title"
"lorraine-wandering-warrior-prd","EN-008 Lorraine, Wandering Warrior (C)","<p>Lorraine, Wandering Warrior is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-008.jpg","1","Lorraine, Wandering Warrior","","","shopify","g","LP5XSEHLGU","Title","Default Title"
"lorraine-honed-operative-prd","EN-009 Lorraine, Honed Operative (C)","<p>Lorraine, Honed Operative is a common card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/C/EN-009.jpg","1","Lorraine, Honed Operative","","","shopify","g","HVGVYHIZP2","Title","Default Title"
"lorraine-arclight-saber-prd","EN-010 Lorraine, Arclight Saber (U)","<p>Lorraine, Arclight Saber is an uncommon card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/U/EN-010.jpg","1","Lorraine, Arclight Saber","","","shopify","g","VITOF3GKKA","Title","Default Title"
"battery-core-x-prd","EN-011 Battery Core X (R)","<p>Battery Core X is a rare card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/R/EN-011.jpg","1","Battery Core X","","","shopify","g","MKJVCXKILY","Title","Default Title"
"cell-reactor-prd","EN-012 Cell Reactor (R)","<p>Cell Reactor is a rare card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/R/EN-012.jpg","1","Cell Reactor","","","shopify","g","8TNMUYOPVR","Title","Default Title"
"discharger-prd","EN-013 Discharger (R)","<p>Discharger is a rare card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/R/EN-013.jpg","1","Discharger","","","shopify","g","KZ4PVDG1N6","Title","Default Title"
"resonantech-module-prd","EN-014 ResonanTech Module (R)","<p>ResonanTech Module is a rare card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/R/EN-014.jpg","1","ResonanTech Module","","","shopify","g","U7JETDQVIS","Title","Default Title"
"revoker-bell-prd","EN-015 Revoker Bell (R)","<p>Revoker Bell is a rare card in Grand Archive's .asphodel/paradise set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRD/R/EN-015.jpg","1","Revoker Bell","","","shopify","g","OMMUK6OQNM","Title","Default Title"
