Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"nameless-champion-cw-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","DQTBFTNRTV","Title","Default Title"
"nameless-champion-cm-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","RQQNKXOD3C","Title","Default Title"
"nameless-champion-am-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","A14VCJVZ41","Title","Default Title"
"nameless-champion-aw-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","MVWI5R8UC8","Title","Default Title"
"nameless-champion-mt-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","KCFYROLKB2","Title","Default Title"
"nameless-champion-tw-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","L6VGGTAZQB","Title","Default Title"
"nameless-champion-gw-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","V0DFRV8GBK","Title","Default Title"
"nameless-champion-mr-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","PWJHLVBWUV","Title","Default Title"
"nameless-champion-gm-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","RCJZRCTRPG","Title","Default Title"
"nameless-champion-rw-prddp","EN-001 Nameless Champion (C)","<p>Nameless Champion is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-001.jpg","1","Nameless Champion","","","shopify","g","IHRHMMH7WB","Title","Default Title"
"bellonas-runestone-prddp","EN-002 Bellona's Runestone (C)","<p>Bellona's Runestone is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-002.jpg","1","Bellona's Runestone","","","shopify","g","EA14PK7QFA","Title","Default Title"
"duxal-proclamation-prddp","EN-003 Duxal Proclamation (C)","<p>Duxal Proclamation is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-003.jpg","1","Duxal Proclamation","","","shopify","g","VTHEV11RIC","Title","Default Title"
"etherealys-promise-prddp","EN-004 Etherealys' Promise (C)","<p>Etherealys' Promise is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-004.jpg","1","Etherealys' Promise","","","shopify","g","H4YEU5S3XM","Title","Default Title"
"fauna-friend-prddp","EN-005 Fauna Friend (C)","<p>Fauna Friend is a common card in Grand Archive's .asphodel/paradise Draft Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDDP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDDP/C/EN-005.jpg","1","Fauna Friend","","","shopify","g","EA3EJZW2KI","Title","Default Title"
