Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"arcane-blast-prdevp","EN-001 Arcane Blast (U)","<p>Arcane Blast is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-001.jpg","1","Arcane Blast","","","shopify","g","N0TGZOOKHJ","Title","Default Title"
"atmos-armor-typehermes-prdevp","EN-002 Atmos Armor Type-Hermes (SR)","<p>Atmos Armor Type-Hermes is a super rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/SR/EN-002.jpg","1","Atmos Armor Type-Hermes","","","shopify","g","MRAOZKDWKG","Title","Default Title"
"baby-gray-slime-prdevp","EN-003 Baby Gray Slime (R)","<p>Baby Gray Slime is a rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/R/EN-003.jpg","1","Baby Gray Slime","","","shopify","g","GWTVUR1ZHO","Title","Default Title"
"cell-handler-prdevp","EN-004 Cell Handler (R)","<p>Cell Handler is a rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/R/EN-004.jpg","1","Cell Handler","","","shopify","g","MWE5NNMYCU","Title","Default Title"
"changban-heroic-impasse-prdevp","EN-005 Changban, Heroic Impasse (R)","<p>Changban, Heroic Impasse is a rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/R/EN-005.jpg","1","Changban, Heroic Impasse","","","shopify","g","QI2QKB3KZS","Title","Default Title"
"conduit-of-bloodfire-prdevp","EN-006 Conduit of Bloodfire (R)","<p>Conduit of Bloodfire is a rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/R/EN-006.jpg","1","Conduit of Bloodfire","","","shopify","g","VHZLAFNH7X","Title","Default Title"
"coronation-ceremony-prdevp","EN-007 Coronation Ceremony (U)","<p>Coronation Ceremony is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-007.jpg","1","Coronation Ceremony","","","shopify","g","0UQUSAKOKJ","Title","Default Title"
"diablerie-prdevp","EN-008 Diablerie (SR)","<p>Diablerie is a super rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/SR/EN-008.jpg","1","Diablerie","","","shopify","g","1YVWNKJX11","Title","Default Title"
"dusklight-communion-prdevp","EN-009 Dusklight Communion (SR)","<p>Dusklight Communion is a super rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/SR/EN-009.jpg","1","Dusklight Communion","","","shopify","g","Z64PI8MBRP","Title","Default Title"
"forest-cake-prdevp","EN-010 Forest Cake (U)","<p>Forest Cake is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-010.jpg","1","Forest Cake","","","shopify","g","7HEHORUBB2","Title","Default Title"
"gentle-respite-prdevp","EN-011 Gentle Respite (U)","<p>Gentle Respite is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-011.jpg","1","Gentle Respite","","","shopify","g","ZXPBZJDKFM","Title","Default Title"
"incapacitate-prdevp","EN-012 Incapacitate (U)","<p>Incapacitate is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-012.jpg","1","Incapacitate","","","shopify","g","W9ZVD3BPEP","Title","Default Title"
"increasing-danger-prdevp","EN-013 Increasing Danger (U)","<p>Increasing Danger is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-013.jpg","1","Increasing Danger","","","shopify","g","N87NCS4L6I","Title","Default Title"
"innervate-knowledge-prdevp","EN-014 Innervate Knowledge (R)","<p>Innervate Knowledge is a rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/R/EN-014.jpg","1","Innervate Knowledge","","","shopify","g","FEVB72K5AJ","Title","Default Title"
"krustallan-ruins-prdevp","EN-015 Krustallan Ruins (U)","<p>Krustallan Ruins is an uncommon card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/U/EN-015.jpg","1","Krustallan Ruins","","","shopify","g","8AXYPKMCKT","Title","Default Title"
"noble-dissolution-prdevp","EN-016 Noble Dissolution (SR)","<p>Noble Dissolution is a super rare card in Grand Archive's .asphodel/paradise Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDEVP/SR/EN-016.jpg","1","Noble Dissolution","","","shopify","g","ON5U7MSTCF","Title","Default Title"
