Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"greater-boon-of-connection-prdp","EN-001 Greater Boon of Connection (SR)","<p>Greater Boon of Connection is a super rare card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/SR/EN-001.jpg","1","Greater Boon of Connection","","","shopify","g","T02QVMUYGQ","Title","Default Title"
"greater-boon-of-flock-prdp","EN-002 Greater Boon of Flock (SR)","<p>Greater Boon of Flock is a super rare card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/SR/EN-002.jpg","1","Greater Boon of Flock","","","shopify","g","BEM4DHHWX2","Title","Default Title"
"greater-boon-of-proxia-prdp","EN-003 Greater Boon of Proxia (UR)","<p>Greater Boon of Proxia is an ultra rare card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/UR/EN-003.jpg","1","Greater Boon of Proxia","","","shopify","g","LOFYAJ0QBT","Title","Default Title"
"greater-boon-of-rosen-prdp","EN-004 Greater Boon of Rosen (R)","<p>Greater Boon of Rosen is a rare card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/R/EN-004.jpg","1","Greater Boon of Rosen","","","shopify","g","90VM6IUXNR","Title","Default Title"
"lesser-boon-of-elysian-blood-prdp","EN-005 Lesser Boon of Elysian Blood (R)","<p>Lesser Boon of Elysian Blood is a rare card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/R/EN-005.jpg","1","Lesser Boon of Elysian Blood","","","shopify","g","XWTGEYGO0K","Title","Default Title"
"lesser-boon-of-flock-prdp","EN-006 Lesser Boon of Flock (U)","<p>Lesser Boon of Flock is an uncommon card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/U/EN-006.jpg","1","Lesser Boon of Flock","","","shopify","g","DPNZJ03HTJ","Title","Default Title"
"lesser-boon-of-fractals-prdp","EN-007 Lesser Boon of Fractals (R)","<p>Lesser Boon of Fractals is a rare card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/R/EN-007.jpg","1","Lesser Boon of Fractals","","","shopify","g","UGIVYTQWKU","Title","Default Title"
"lesser-boon-of-nourishment-prdp","EN-008 Lesser Boon of Nourishment (U)","<p>Lesser Boon of Nourishment is an uncommon card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/U/EN-008.jpg","1","Lesser Boon of Nourishment","","","shopify","g","EDEKKXIQZW","Title","Default Title"
"lesser-boon-of-permeation-prdp","EN-009 Lesser Boon of Permeation (U)","<p>Lesser Boon of Permeation is an uncommon card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/U/EN-009.jpg","1","Lesser Boon of Permeation","","","shopify","g","Q02DQYPW3L","Title","Default Title"
"lesser-boon-of-provocation-prdp","EN-010 Lesser Boon of Provocation (U)","<p>Lesser Boon of Provocation is an uncommon card in Grand Archive's .asphodel/paradise: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDP/U/EN-010.jpg","1","Lesser Boon of Provocation","","","shopify","g","ZCPBKIIC9V","Title","Default Title"
