Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-prdsd","EN-001 Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-001.jpg","1","Spirit of Fire","","","shopify","g","IXWWD92KBP","Title","Default Title"
"spirit-of-water-prdsd","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-002.jpg","1","Spirit of Water","","","shopify","g","Z95OIVEART","Title","Default Title"
"dante-prodigal-swain-prdsd","EN-003 Dante, Prodigal Swain (C)","<p>Dante, Prodigal Swain is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-003.jpg","1","Dante, Prodigal Swain","","","shopify","g","MXQ5RVKE5E","Title","Default Title"
"dante-aenean-initiate-prdsd","EN-004 Dante, Aenean Initiate (C)","<p>Dante, Aenean Initiate is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-004.jpg","1","Dante, Aenean Initiate","","","shopify","g","4GVOTSA3QW","Title","Default Title"
"dante-hemomancer-prdsd","EN-005 Dante, Hemomancer (C)","<p>Dante, Hemomancer is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-005.jpg","1","Dante, Hemomancer","","","shopify","g","TLAWA00SHG","Title","Default Title"
"lorraine-wandering-warrior-prdsd","EN-006 Lorraine, Wandering Warrior (C)","<p>Lorraine, Wandering Warrior is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-006.jpg","1","Lorraine, Wandering Warrior","","","shopify","g","ZIONQYGUGH","Title","Default Title"
"lorraine-honed-operative-prdsd","EN-007 Lorraine, Honed Operative (C)","<p>Lorraine, Honed Operative is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-007.jpg","1","Lorraine, Honed Operative","","","shopify","g","5ZWUKNHFLK","Title","Default Title"
"lorraine-arclight-saber-prdsd","EN-008 Lorraine, Arclight Saber (C)","<p>Lorraine, Arclight Saber is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-008.jpg","1","Lorraine, Arclight Saber","","","shopify","g","WUXURE0RL3","Title","Default Title"
"bauble-of-abundance-prdsd","EN-009 Bauble of Abundance (C)","<p>Bauble of Abundance is a common card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/C/EN-009.jpg","1","Bauble of Abundance","","","shopify","g","FEZB1WC4JE","Title","Default Title"
"clarent-sword-of-peace-prdsd","EN-010 Clarent, Sword of Peace (R)","<p>Clarent, Sword of Peace is a rare card in Grand Archive's .asphodel/paradise Starter Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PRDSD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PRDSD/R/EN-010.jpg","1","Clarent, Sword of Peace","","","shopify","g","NN9DXZET3W","Title","Default Title"
