Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-purity-ptm","EN-001 Spirit of Purity (SR)","<p>Spirit of Purity is a super rare card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/SR/EN-001.jpg","1","Spirit of Purity","0.8","0.89","shopify","g","XDEE6WXVJ0","Title","Default Title"
"alice-distorted-queen-ptm","EN-002 Alice, Distorted Queen (SR)","<p>Alice, Distorted Queen is a super rare card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/SR/EN-002.jpg","1","Alice, Distorted Queen","1.57","1.74","shopify","g","QOTMVYJCSK","Title","Default Title"
"alice-whims-monarch-ptm","EN-003 Alice, Whim's Monarch (SR)","<p>Alice, Whim's Monarch is a super rare card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/SR/EN-003.jpg","1","Alice, Whim's Monarch","0.97","1.08","shopify","g","ISMHMTPWM2","Title","Default Title"
"alice-phantom-monarch-ptm","EN-004 Alice, Phantom Monarch (SR)","<p>Alice, Phantom Monarch is a super rare card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/SR/EN-004.jpg","1","Alice, Phantom Monarch","0.82","0.91","shopify","g","VILN86PAAX","Title","Default Title"
"merlin-memorite-vassal-ptm","EN-005 Merlin, Memorite Vassal (C)","<p>Merlin, Memorite Vassal is a common card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/C/EN-005.jpg","1","Merlin, Memorite Vassal","0.25","","shopify","g","0HWX4NZNYD","Title","Default Title"
"merlin-amethysts-glow-ptm","EN-006 Merlin, Amethyst's Glow (C)","<p>Merlin, Amethyst's Glow is a common card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/C/EN-006.jpg","1","Merlin, Amethyst's Glow","0.25","","shopify","g","8ASRY6G9WR","Title","Default Title"
"merlin-brilliant-vestige-ptm","EN-007 Merlin, Brilliant Vestige (C)","<p>Merlin, Brilliant Vestige is a common card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/C/EN-007.jpg","1","Merlin, Brilliant Vestige","0.25","","shopify","g","S6YU3HUPCD","Title","Default Title"
"biding-cinquedea-ptm","EN-008 Biding Cinquedea (R)","<p>Biding Cinquedea is a rare card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/R/EN-008.jpg","1","Biding Cinquedea","0.35","0.39","shopify","g","LAPSXEWSMT","Title","Default Title"
"dropped-band-ptm","EN-009 Dropped Band (R)","<p>Dropped Band is a rare card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/R/EN-009.jpg","1","Dropped Band","0.25","0.26","shopify","g","CUNOANC0QD","Title","Default Title"
"ducal-seal-ptm","EN-010 Ducal Seal (U)","<p>Ducal Seal is an uncommon card in Grand Archive's Phantom Monarchs set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTM, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTM/U/EN-010.jpg","1","Ducal Seal","0.25","","shopify","g","GJP5PNFSAJ","Title","Default Title"
