Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"beseech-the-winds-ptmevp","EN-001 Beseech the Winds (SR)","<p>Beseech the Winds is a super rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/SR/EN-001.jpg","1","Beseech the Winds","","","shopify","g","X0CW8QUQOS","Title","Default Title"
"creative-shock-ptmevp","EN-002 Creative Shock (U)","<p>Creative Shock is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-002.jpg","1","Creative Shock","","","shopify","g","G9MTHVBNKM","Title","Default Title"
"displace-ptmevp","EN-003 Displace (R)","<p>Displace is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-003.jpg","1","Displace","","","shopify","g","ASPLFNR4KT","Title","Default Title"
"ensnaring-fumes-ptmevp","EN-004 Ensnaring Fumes (R)","<p>Ensnaring Fumes is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-004.jpg","1","Ensnaring Fumes","","","shopify","g","RNNCSTHSTP","Title","Default Title"
"erratic-bolt-ptmevp","EN-005 Erratic Bolt (R)","<p>Erratic Bolt is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-005.jpg","1","Erratic Bolt","","","shopify","g","UJWXSIDA0Z","Title","Default Title"
"exalted-dorumegian-throne-ptmevp","EN-006 Exalted Dorumegian Throne (R)","<p>Exalted Dorumegian Throne is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-006.jpg","1","Exalted Dorumegian Throne","","","shopify","g","1QR9QA56HB","Title","Default Title"
"fire-resonance-bauble-ptmevp","EN-007 Fire Resonance Bauble (U)","<p>Fire Resonance Bauble is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-007.jpg","1","Fire Resonance Bauble","","","shopify","g","MVGVHYC1ZP","Title","Default Title"
"fractal-of-rain-ptmevp","EN-008 Fractal of Rain (R)","<p>Fractal of Rain is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-008.jpg","1","Fractal of Rain","","","shopify","g","RMYDWGVTVP","Title","Default Title"
"frostbind-ptmevp","EN-009 Frostbind (U)","<p>Frostbind is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-009.jpg","1","Frostbind","","","shopify","g","ONLUQCWDW2","Title","Default Title"
"hasty-messenger-ptmevp","EN-010 Hasty Messenger (U)","<p>Hasty Messenger is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-010.jpg","1","Hasty Messenger","","","shopify","g","HK7G3J9DNQ","Title","Default Title"
"lightweavers-assault-ptmevp","EN-011 Lightweaver's Assault (SR)","<p>Lightweaver's Assault is a super rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/SR/EN-011.jpg","1","Lightweaver's Assault","","","shopify","g","QHPZXXNR0E","Title","Default Title"
"primordial-ritual-ptmevp","EN-012 Primordial Ritual (R)","<p>Primordial Ritual is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-012.jpg","1","Primordial Ritual","","","shopify","g","1MNFWISNKG","Title","Default Title"
"reclaim-ptmevp","EN-013 Reclaim (U)","<p>Reclaim is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-013.jpg","1","Reclaim","","","shopify","g","PWWDWP0D9V","Title","Default Title"
"revitalizing-cleanse-ptmevp","EN-014 Revitalizing Cleanse (U)","<p>Revitalizing Cleanse is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-014.jpg","1","Revitalizing Cleanse","","","shopify","g","AOYLESTODF","Title","Default Title"
"tether-in-flames-ptmevp","EN-015 Tether in Flames (R)","<p>Tether in Flames is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-015.jpg","1","Tether in Flames","","","shopify","g","EGRFANZWTC","Title","Default Title"
"uncover-the-plot-ptmevp","EN-016 Uncover the Plot (R)","<p>Uncover the Plot is a rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/R/EN-016.jpg","1","Uncover the Plot","","","shopify","g","XKBYNS6YSC","Title","Default Title"
"varuck-smoldering-spire-ptmevp","EN-017 Varuck, Smoldering Spire (SR)","<p>Varuck, Smoldering Spire is a super rare card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/SR/EN-017.jpg","1","Varuck, Smoldering Spire","","","shopify","g","PXXAHPWMTS","Title","Default Title"
"water-resonance-bauble-ptmevp","EN-018 Water Resonance Bauble (U)","<p>Water Resonance Bauble is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-018.jpg","1","Water Resonance Bauble","","","shopify","g","QDSQV1JE4N","Title","Default Title"
"wind-resonance-bauble-ptmevp","EN-019 Wind Resonance Bauble (U)","<p>Wind Resonance Bauble is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-019.jpg","1","Wind Resonance Bauble","","","shopify","g","CNY74FUMY1","Title","Default Title"
"zephyr-ptmevp","EN-020 Zephyr (U)","<p>Zephyr is an uncommon card in Grand Archive's Phantom Monarchs Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: PTMEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/PTMEVP/U/EN-020.jpg","1","Zephyr","","","shopify","g","YBZETSZHHN","Title","Default Title"
