Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"tome-of-abyssal-heaven-rdo1e","EN-035 Tome of Abyssal Heaven (UR)","<p>Tome of Abyssal Heaven is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-035.jpg","1","Tome of Abyssal Heaven","","","shopify","g","45VAZNWEJW","Title","Default Title"
"angelic-channeling-rdo1ea","EN-044A Angelic Channeling (UR)","<p>Angelic Channeling is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-044A.jpg","1","Angelic Channeling","","","shopify","g","C7NBYXZCGS","Title","Default Title"
"angelic-channeling-rdo1eb","EN-044B Angelic Channeling (UR)","<p>Angelic Channeling is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-044B.jpg","1","Angelic Channeling","","","shopify","g","CK7J0E9ITU","Title","Default Title"
"argus-all-seeing-giant-rdo1e","EN-047 Argus, All-Seeing Giant (UR)","<p>Argus, All-Seeing Giant is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-047.jpg","1","Argus, All-Seeing Giant","","","shopify","g","JPIIBM13FE","Title","Default Title"
"ariel-archangel-of-natura-rdo1e","EN-048 Ariel, Archangel of Natura (UR)","<p>Ariel, Archangel of Natura is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-048.jpg","1","Ariel, Archangel of Natura","","","shopify","g","WWHDY3TTHE","Title","Default Title"
"azrael-archangel-of-materia-rdo1e","EN-050 Azrael, Archangel of Materia (UR)","<p>Azrael, Archangel of Materia is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-050.jpg","1","Azrael, Archangel of Materia","","","shopify","g","IVUT6UM1AJ","Title","Default Title"
"golden-checkmate-rdo1e","EN-085 Golden Checkmate (UR)","<p>Golden Checkmate is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-085.jpg","1","Golden Checkmate","","","shopify","g","DSY5FWVVIY","Title","Default Title"
"haniel-archangel-of-spectra-rdo1e","EN-088 Haniel, Archangel of Spectra (UR)","<p>Haniel, Archangel of Spectra is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-088.jpg","1","Haniel, Archangel of Spectra","","","shopify","g","RJU2FDYMKI","Title","Default Title"
"raziel-archangel-of-libra-rdo1e","EN-126 Raziel, Archangel of Libra (UR)","<p>Raziel, Archangel of Libra is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-126.jpg","1","Raziel, Archangel of Libra","","","shopify","g","1XL9DAOSZP","Title","Default Title"
"seraphic-legions-descent-rdo1e","EN-139A Seraphic Legion's Descent (UR)","<p>Seraphic Legion's Descent is an ultra rare card in Grand Archive's Radiant Origins First Edition set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO 1st, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO 1st/UR/EN-139A.jpg","1","Seraphic Legion's Descent","","","shopify","g","MY9QFQM0MR","Title","Default Title"
