Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-chess-rdo","EN-001 Spirit of Chess (SR)","<p>Spirit of Chess is a super rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/SR/EN-001.jpg","1","Spirit of Chess","13.61","15.13","shopify","g","UE49NZBUEP","Title","Default Title"
"spirit-of-serene-fire-rdo","EN-004 Spirit of Serene Fire (UR)","<p>Spirit of Serene Fire is an ultra rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/UR/EN-004.jpg","1","Spirit of Serene Fire","","","shopify","g","CCXVWD4ZAL","Title","Default Title"
"spirit-of-serene-water-rdo","EN-007 Spirit of Serene Water (UR)","<p>Spirit of Serene Water is an ultra rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/UR/EN-007.jpg","1","Spirit of Serene Water","","","shopify","g","IFT3AEFNHC","Title","Default Title"
"spirit-of-serene-wind-rdo","EN-010 Spirit of Serene Wind (UR)","<p>Spirit of Serene Wind is an ultra rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/UR/EN-010.jpg","1","Spirit of Serene Wind","","","shopify","g","AMCHW0X0DP","Title","Default Title"
"alice-trifles-royalty-rdo","EN-011 Alice, Trifle's Royalty (SR)","<p>Alice, Trifle's Royalty is a super rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/SR/EN-011.jpg","1","Alice, Trifle's Royalty","12.62","14.02","shopify","g","DMIIGIUBVP","Title","Default Title"
"merlin-kingslayer-rdo","EN-012 Merlin, Kingslayer (SR)","<p>Merlin, Kingslayer is a super rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/SR/EN-012.jpg","1","Merlin, Kingslayer","","","shopify","g","D8EECIGLLX","Title","Default Title"
"alchemists-cauldron-rdo","EN-013 Alchemist's Cauldron (SR)","<p>Alchemist's Cauldron is a super rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/SR/EN-013.jpg","1","Alchemist's Cauldron","","","shopify","g","T1ESD1BWYL","Title","Default Title"
"chime-of-endless-dreams-rdo","EN-014 Chime of Endless Dreams (R)","<p>Chime of Endless Dreams is a rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/R/EN-014.jpg","1","Chime of Endless Dreams","3.41","3.79","shopify","g","JQVVNH5FZI","Title","Default Title"
"equinox-hour-rdo","EN-015 Equinox Hour (U)","<p>Equinox Hour is an uncommon card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/U/EN-015.jpg","1","Equinox Hour","","","shopify","g","KWMMCD9FKI","Title","Default Title"
"essence-crucible-rdo","EN-016 Essence Crucible (SR)","<p>Essence Crucible is a super rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/SR/EN-016.jpg","1","Essence Crucible","13.61","15.13","shopify","g","ZW7KXXRCPX","Title","Default Title"
"focusing-gem-rdo","EN-017 Focusing Gem (SR)","<p>Focusing Gem is a super rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/SR/EN-017.jpg","1","Focusing Gem","","","shopify","g","VELPL1IPMK","Title","Default Title"
"grand-crusaders-ring-rdo","EN-018 Grand Crusader's Ring (UR)","<p>Grand Crusader's Ring is an ultra rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/UR/EN-018.jpg","1","Grand Crusader's Ring","35.47","39.41","shopify","g","YVJKTBNSXS","Title","Default Title"
"heirloom-of-libra-rdo","EN-019 Heirloom of Libra (R)","<p>Heirloom of Libra is a rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/R/EN-019.jpg","1","Heirloom of Libra","","","shopify","g","8GIRITKCVL","Title","Default Title"
"heirloom-of-materia-rdo","EN-020 Heirloom of Materia (R)","<p>Heirloom of Materia is a rare card in Grand Archive's Radiant Origins set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDO, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDO/R/EN-020.jpg","1","Heirloom of Materia","","","shopify","g","45IKVUEZJN","Title","Default Title"
