Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"battlefield-spotter-rdoevp","EN-001 Battlefield Spotter (R)","<p>Battlefield Spotter is a rare card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/R/EN-001.jpg","1","Battlefield Spotter","","","shopify","g","PWA6RBGPWN","Title","Default Title"
"convoking-slime-rdoevp","EN-002 Convoking Slime (R)","<p>Convoking Slime is a rare card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/R/EN-002.jpg","1","Convoking Slime","","","shopify","g","4CDOBLZITX","Title","Default Title"
"dematerialize-rdoevp","EN-003 Dematerialize (U)","<p>Dematerialize is an uncommon card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/U/EN-003.jpg","1","Dematerialize","","","shopify","g","UOJ8JREGYQ","Title","Default Title"
"dissuading-halt-rdoevp","EN-004 Dissuading Halt (U)","<p>Dissuading Halt is an uncommon card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/U/EN-004.jpg","1","Dissuading Halt","","","shopify","g","YXL7KSXTOB","Title","Default Title"
"dormant-sacrificial-altar-rdoevp","EN-005 Dormant Sacrificial Altar (U)","<p>Dormant Sacrificial Altar is an uncommon card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/U/EN-005.jpg","1","Dormant Sacrificial Altar","","","shopify","g","BWQQZHJVAN","Title","Default Title"
"eternal-magistrate-rdoevp","EN-006 Eternal Magistrate (SR)","<p>Eternal Magistrate is a super rare card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/SR/EN-006.jpg","1","Eternal Magistrate","","","shopify","g","XLWSOIAWQS","Title","Default Title"
"expel-the-departed-rdoevp","EN-007 Expel the Departed (U)","<p>Expel the Departed is an uncommon card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/U/EN-007.jpg","1","Expel the Departed","","","shopify","g","3SS1RHGYWC","Title","Default Title"
"fractal-of-creation-rdoevp","EN-008 Fractal of Creation (R)","<p>Fractal of Creation is a rare card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/R/EN-008.jpg","1","Fractal of Creation","","","shopify","g","HE2YIXKPPS","Title","Default Title"
"fracturize-rdoevp","EN-009 Fracturize (R)","<p>Fracturize is a rare card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/R/EN-009.jpg","1","Fracturize","","","shopify","g","H6LG7X6AKQ","Title","Default Title"
"geldus-terror-of-dorumegia-rdoevp","EN-010 Geldus, Terror of Dorumegia (R)","<p>Geldus, Terror of Dorumegia is a rare card in Grand Archive's Radiant Origins Event Pack set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOEVP, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOEVP/R/EN-010.jpg","1","Geldus, Terror of Dorumegia","","","shopify","g","GT43QEDPPY","Title","Default Title"
