Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"animal-encounter-rdop","EN-001 Animal Encounter (U)","<p>Animal Encounter is an uncommon card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/U/EN-001.jpg","1","Animal Encounter","","","shopify","g","XLKO5JUP2Z","Title","Default Title"
"beckon-attention-rdop","EN-002 Beckon Attention (U)","<p>Beckon Attention is an uncommon card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/U/EN-002.jpg","1","Beckon Attention","","","shopify","g","VLSEMA0YEE","Title","Default Title"
"cheap-sword-rdop","EN-003 Cheap Sword (C)","<p>Cheap Sword is a common card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/C/EN-003.jpg","1","Cheap Sword","","","shopify","g","N9CMDFPHU5","Title","Default Title"
"cheerful-slime-rdop","EN-004 Cheerful Slime (U)","<p>Cheerful Slime is an uncommon card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/U/EN-004.jpg","1","Cheerful Slime","","","shopify","g","SHRQ6HT5FU","Title","Default Title"
"crowds-favor-rdop","EN-005 Crowd's Favor (C)","<p>Crowd's Favor is a common card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/C/EN-005.jpg","1","Crowd's Favor","","","shopify","g","BRGNPOOASN","Title","Default Title"
"greater-boon-of-astraeus-rdop","EN-006 Greater Boon of Astraeus (SR)","<p>Greater Boon of Astraeus is a super rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/SR/EN-006.jpg","1","Greater Boon of Astraeus","","","shopify","g","XM66PKWE8X","Title","Default Title"
"greater-boon-of-detachment-rdop","EN-007 Greater Boon of Detachment (UR)","<p>Greater Boon of Detachment is an ultra rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/UR/EN-007.jpg","1","Greater Boon of Detachment","","","shopify","g","KFOJS0BDXX","Title","Default Title"
"greater-boon-of-dux-rdop","EN-008 Greater Boon of Dux (UR)","<p>Greater Boon of Dux is an ultra rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/UR/EN-008.jpg","1","Greater Boon of Dux","","","shopify","g","UFU1YLFV5F","Title","Default Title"
"greater-boon-of-horses-rdop","EN-009 Greater Boon of Horses (UR)","<p>Greater Boon of Horses is an ultra rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/UR/EN-009.jpg","1","Greater Boon of Horses","","","shopify","g","1O27AN5RFC","Title","Default Title"
"greater-boon-of-inari-rdop","EN-010 Greater Boon of Inari (UR)","<p>Greater Boon of Inari is an ultra rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/UR/EN-010.jpg","1","Greater Boon of Inari","","","shopify","g","WIM885FGZF","Title","Default Title"
"greater-boon-of-isis-rdop","EN-011 Greater Boon of Isis (UR)","<p>Greater Boon of Isis is an ultra rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Ultra Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/UR/EN-011.jpg","1","Greater Boon of Isis","","","shopify","g","OALYMNVYQP","Title","Default Title"
"greater-boon-of-kanaloa-rdop","EN-012 Greater Boon of Kanaloa (SR)","<p>Greater Boon of Kanaloa is a super rare card in Grand Archive's Radiant Origins: Pantheon set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOP, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOP/SR/EN-012.jpg","1","Greater Boon of Kanaloa","","","shopify","g","0TLVV2WTU8","Title","Default Title"
