Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-fire-rdopd-b","EN-001B Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-001B.jpg","1","Spirit of Fire","","","shopify","g","GITHQQ1IKV","Title","Default Title"
"spirit-of-fire-rdopd-a","EN-001A Spirit of Fire (C)","<p>Spirit of Fire is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-001A.jpg","1","Spirit of Fire","","","shopify","g","YXPAYTBEKX","Title","Default Title"
"spirit-of-water-rdopd","EN-002 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-002.jpg","1","Spirit of Water","","","shopify","g","MDEL3VYL0V","Title","Default Title"
"spirit-of-wind-rdopd","EN-003 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-003.jpg","1","Spirit of Wind","","","shopify","g","MPF2EZXJUT","Title","Default Title"
"arisanna-herbalist-prodigy-rdopd","EN-004 Arisanna, Herbalist Prodigy (C)","<p>Arisanna, Herbalist Prodigy is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-004.jpg","1","Arisanna, Herbalist Prodigy","","","shopify","g","9UMRDY73XX","Title","Default Title"
"arisanna-master-alchemist-rdopd","EN-005 Arisanna, Master Alchemist (C)","<p>Arisanna, Master Alchemist is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-005.jpg","1","Arisanna, Master Alchemist","","","shopify","g","9KN6WGVIWO","Title","Default Title"
"arisanna-astral-zenith-rdopd","EN-006 Arisanna, Astral Zenith (C)","<p>Arisanna, Astral Zenith is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-006.jpg","1","Arisanna, Astral Zenith","","","shopify","g","UYYFG61EIQ","Title","Default Title"
"lorraine-wandering-warrior-rdopd","EN-007 Lorraine, Wandering Warrior (C)","<p>Lorraine, Wandering Warrior is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-007.jpg","1","Lorraine, Wandering Warrior","","","shopify","g","AYZCVQ2VZY","Title","Default Title"
"lorraine-blademaster-rdopd","EN-008 Lorraine, Blademaster (C)","<p>Lorraine, Blademaster is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-008.jpg","1","Lorraine, Blademaster","","","shopify","g","0FLQSJOEXE","Title","Default Title"
"lorraine-spirit-ruler-rdopd","EN-009 Lorraine, Spirit Ruler (C)","<p>Lorraine, Spirit Ruler is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-009.jpg","1","Lorraine, Spirit Ruler","","","shopify","g","PHAY1DRJRX","Title","Default Title"
"kongming-wayward-maven-rdopd","EN-010 Kongming, Wayward Maven (C)","<p>Kongming, Wayward Maven is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-010.jpg","1","Kongming, Wayward Maven","","","shopify","g","UTGGIL2AYS","Title","Default Title"
"kongming-ascetic-vice-rdopd","EN-011 Kongming, Ascetic Vice (C)","<p>Kongming, Ascetic Vice is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-011.jpg","1","Kongming, Ascetic Vice","","","shopify","g","DALCOGJU0U","Title","Default Title"
"kongming-fel-eidolon-rdopd","EN-012 Kongming, Fel Eidolon (C)","<p>Kongming, Fel Eidolon is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-012.jpg","1","Kongming, Fel Eidolon","","","shopify","g","GBACOE1Y0M","Title","Default Title"
"zander-prepared-scout-rdopd","EN-013 Zander, Prepared Scout (C)","<p>Zander, Prepared Scout is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-013.jpg","1","Zander, Prepared Scout","","","shopify","g","ZS1PHDK2HA","Title","Default Title"
"zander-deft-executor-rdopd","EN-014 Zander, Deft Executor (C)","<p>Zander, Deft Executor is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-014.jpg","1","Zander, Deft Executor","","","shopify","g","EYN8ZISZJI","Title","Default Title"
"zander-blinding-steel-rdopd","EN-015 Zander, Blinding Steel (C)","<p>Zander, Blinding Steel is a common card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/C/EN-015.jpg","1","Zander, Blinding Steel","","","shopify","g","9WFSFHNSJX","Title","Default Title"
"assassins-mantle-rdopd","EN-016 Assassin's Mantle (R)","<p>Assassin's Mantle is a rare card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/R/EN-016.jpg","1","Assassin's Mantle","","","shopify","g","0JKSA6TLDW","Title","Default Title"
"charm-of-anticipation-rdopd","EN-017 Charm of Anticipation (R)","<p>Charm of Anticipation is a rare card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/R/EN-017.jpg","1","Charm of Anticipation","","","shopify","g","4GFDEQVS14","Title","Default Title"
"cleric-robes-rdopd","EN-018 Cleric Robes (U)","<p>Cleric Robes is an uncommon card in Grand Archive's Radiant Origins Pantheon Decks set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: RDOPD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/RDOPD/U/EN-018.jpg","1","Cleric Robes","","","shopify","g","P5CBYWIHMW","Title","Default Title"
