Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"flawless-spirit-of-mordred-rec-aur","EN-001 Flawless Spirit of Mordred (SR)","<p>Flawless Spirit of Mordred is a super rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/SR/EN-001.jpg","1","Flawless Spirit of Mordred","","","shopify","g","OPWDSOSUNG","Title","Default Title"
"mordred-burnished-avenger-rec-aur","EN-002 Mordred, Burnished Avenger (SR)","<p>Mordred, Burnished Avenger is a super rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/SR/EN-002.jpg","1","Mordred, Burnished Avenger","","","shopify","g","IO53WWV49W","Title","Default Title"
"mordred-flawless-blade-rec-aur","EN-003 Mordred, Flawless Blade (C)","<p>Mordred, Flawless Blade is a common card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/C/EN-003.jpg","1","Mordred, Flawless Blade","","","shopify","g","ZYEYXCDKKT","Title","Default Title"
"mordred-fated-luminary-rec-aur","EN-004 Mordred, Fated Luminary (SR)","<p>Mordred, Fated Luminary is a super rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/SR/EN-004.jpg","1","Mordred, Fated Luminary","","","shopify","g","JDDKFL89HP","Title","Default Title"
"mordred-aurelian-regent-rec-aur","EN-005 Mordred, Aurelian Regent (SR)","<p>Mordred, Aurelian Regent is a super rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/SR/EN-005.jpg","1","Mordred, Aurelian Regent","","","shopify","g","8XZU4OOJ7V","Title","Default Title"
"drawn-blade-rec-aur","EN-006 Drawn Blade (R)","<p>Drawn Blade is a rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/R/EN-006.jpg","1","Drawn Blade","","","shopify","g","TX0ZLJQOGB","Title","Default Title"
"dummy-trainer-rec-aur","EN-007 Dummy Trainer (R)","<p>Dummy Trainer is a rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/R/EN-007.jpg","1","Dummy Trainer","","","shopify","g","ZODXR3OHAW","Title","Default Title"
"rhongomiant-groves-spire-rec-aur","EN-008 Rhongomiant, Grove's Spire (SR)","<p>Rhongomiant, Grove's Spire is a super rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/SR/EN-008.jpg","1","Rhongomiant, Grove's Spire","","","shopify","g","N6TMJ9QRJB","Title","Default Title"
"safeguard-amulet-rec-aur","EN-009 Safeguard Amulet (U)","<p>Safeguard Amulet is an uncommon card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/U/EN-009.jpg","1","Safeguard Amulet","","","shopify","g","JI2UULE681","Title","Default Title"
"sword-of-seeking-rec-aur","EN-010 Sword of Seeking (U)","<p>Sword of Seeking is an uncommon card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/U/EN-010.jpg","1","Sword of Seeking","","","shopify","g","QSOSMNSP2Q","Title","Default Title"
"tariff-ring-rec-aur","EN-011 Tariff Ring (U)","<p>Tariff Ring is an uncommon card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/U/EN-011.jpg","1","Tariff Ring","","","shopify","g","LXIIX61FZ3","Title","Default Title"
"mirrordepths-blade-rec-aur","EN-012 Mirrordepth's Blade (R)","<p>Mirrordepth's Blade is a rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/R/EN-012.jpg","1","Mirrordepth's Blade","","","shopify","g","YJM498HDVW","Title","Default Title"
"dauntless-assault-rec-aur","EN-013 Dauntless Assault (U)","<p>Dauntless Assault is an uncommon card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/U/EN-013.jpg","1","Dauntless Assault","","","shopify","g","VNCE2SIMYW","Title","Default Title"
"deflecting-edge-rec-aur","EN-014 Deflecting Edge (C)","<p>Deflecting Edge is a common card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/C/EN-014.jpg","1","Deflecting Edge","","","shopify","g","D6CPJ0URU8","Title","Default Title"
"dungeon-guide-rec-aur","EN-015 Dungeon Guide (R)","<p>Dungeon Guide is a rare card in Grand Archive's Re:Collection Aurelian Regent set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-AUR, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-AUR/R/EN-015.jpg","1","Dungeon Guide","","","shopify","g","K4PICNHDYM","Title","Default Title"
