Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-water-rec-brv","EN-001 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/C/EN-001.jpg","1","Spirit of Water","","","shopify","g","8LD10F8SPV","Title","Default Title"
"merlin-memorite-vassal-rec-brv","EN-002 Merlin, Memorite Vassal (C)","<p>Merlin, Memorite Vassal is a common card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/C/EN-002.jpg","1","Merlin, Memorite Vassal","","","shopify","g","QN4C96LC9Q","Title","Default Title"
"merlin-amethysts-glow-rec-brv","EN-003 Merlin, Amethyst's Glow (C)","<p>Merlin, Amethyst's Glow is a common card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/C/EN-003.jpg","1","Merlin, Amethyst's Glow","","","shopify","g","EKSWNQ3LVQ","Title","Default Title"
"merlin-brilliant-vestige-rec-brv","EN-004 Merlin, Brilliant Vestige (C)","<p>Merlin, Brilliant Vestige is a common card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/C/EN-004.jpg","1","Merlin, Brilliant Vestige","","","shopify","g","PY3QBCOCTT","Title","Default Title"
"assassins-mantle-rec-brv","EN-005 Assassin's Mantle (R)","<p>Assassin's Mantle is a rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/R/EN-005.jpg","1","Assassin's Mantle","","","shopify","g","UOYQXYFASD","Title","Default Title"
"life-essence-amulet-rec-brv","EN-006 Life Essence Amulet (C)","<p>Life Essence Amulet is a common card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/C/EN-006.jpg","1","Life Essence Amulet","","","shopify","g","GU74T6XW0Q","Title","Default Title"
"poisoned-dagger-rec-brv","EN-007 Poisoned Dagger (U)","<p>Poisoned Dagger is an uncommon card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/U/EN-007.jpg","1","Poisoned Dagger","","","shopify","g","UQVFVWNWSF","Title","Default Title"
"prismspire-scepter-rec-brv","EN-008 Prismspire Scepter (R)","<p>Prismspire Scepter is a rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/R/EN-008.jpg","1","Prismspire Scepter","","","shopify","g","VVEVZ6KVMD","Title","Default Title"
"proto-key-crest-rec-brv","EN-009 Proto Key Crest (R)","<p>Proto Key Crest is a rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/R/EN-009.jpg","1","Proto Key Crest","","","shopify","g","LWO4FDZDS0","Title","Default Title"
"shardforged-blade-rec-brv","EN-010 Shardforged Blade (R)","<p>Shardforged Blade is a rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/R/EN-010.jpg","1","Shardforged Blade","","","shopify","g","MSV83XZF0B","Title","Default Title"
"tariff-ring-rec-brv","EN-011 Tariff Ring (C)","<p>Tariff Ring is a common card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/C/EN-011.jpg","1","Tariff Ring","","","shopify","g","ZFZBJKPUFT","Title","Default Title"
"luminous-quartz-rec-brv","EN-012 Luminous Quartz (SR)","<p>Luminous Quartz is a super rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/SR/EN-012.jpg","1","Luminous Quartz","","","shopify","g","V1G7WJC5XK","Title","Default Title"
"another-beginning-rec-brv","EN-013 Another Beginning (R)","<p>Another Beginning is a rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/R/EN-013.jpg","1","Another Beginning","","","shopify","g","RP7NBEE1JW","Title","Default Title"
"converge-reflections-rec-brv","EN-014 Converge Reflections (R)","<p>Converge Reflections is a rare card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/R/EN-014.jpg","1","Converge Reflections","","","shopify","g","ZYB6VH6DFS","Title","Default Title"
"crystalline-reality-rec-brv","EN-015 Crystalline Reality (U)","<p>Crystalline Reality is an uncommon card in Grand Archive's Re:Collection Brilliant Vestige set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-BRV, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-BRV/U/EN-015.jpg","1","Crystalline Reality","","","shopify","g","W0CECKNPO4","Title","Default Title"
