Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-water-rec-idy","EN-001 Spirit of Water (C)","<p>Spirit of Water is a common card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/C/EN-001.jpg","1","Spirit of Water","","","shopify","g","1B8KG4TJYX","Title","Default Title"
"diao-chan-enchantress-rec-idy","EN-002 Diao Chan, Enchantress (C)","<p>Diao Chan, Enchantress is a common card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/C/EN-002.jpg","1","Diao Chan, Enchantress","0.25","","shopify","g","5SMK6UMBTP","Title","Default Title"
"diao-chan-dreaming-wish-rec-idy","EN-003 Diao Chan, Dreaming Wish (C)","<p>Diao Chan, Dreaming Wish is a common card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/C/EN-003.jpg","1","Diao Chan, Dreaming Wish","0.25","","shopify","g","9H1UUOWRKS","Title","Default Title"
"diao-chan-idyll-corsage-rec-idy","EN-004 Diao Chan, Idyll Corsage (C)","<p>Diao Chan, Idyll Corsage is a common card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/C/EN-004.jpg","1","Diao Chan, Idyll Corsage","0.25","","shopify","g","7KIDS4TC20","Title","Default Title"
"cleric-robes-rec-idy","EN-005 Cleric Robes (U)","<p>Cleric Robes is an uncommon card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/U/EN-005.jpg","1","Cleric Robes","0.47","0.52","shopify","g","FL6NTWK2G7","Title","Default Title"
"glimmer-essence-amulet-rec-idy","EN-006 Glimmer Essence Amulet (U)","<p>Glimmer Essence Amulet is an uncommon card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/U/EN-006.jpg","1","Glimmer Essence Amulet","0.73","0.81","shopify","g","8SS64N906A","Title","Default Title"
"scepter-of-fascination-rec-idy","EN-007 Scepter of Fascination (R)","<p>Scepter of Fascination is a rare card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/R/EN-007.jpg","1","Scepter of Fascination","0.86","0.96","shopify","g","F2SXO3TM5M","Title","Default Title"
"tariff-ring-rec-idy","EN-008 Tariff Ring (C)","<p>Tariff Ring is a common card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/C/EN-008.jpg","1","Tariff Ring","0.25","","shopify","g","BOKTSRBC5L","Title","Default Title"
"crystalline-mirror-rec-idy","EN-009 Crystalline Mirror (R)","<p>Crystalline Mirror is a rare card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/R/EN-009.jpg","1","Crystalline Mirror","0.25","","shopify","g","ZOTP3YNOLT","Title","Default Title"
"hairpin-of-transience-rec-idy","EN-010 Hairpin of Transience (R)","<p>Hairpin of Transience is a rare card in Grand Archive's Re:Collection Idyll Corsage set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-IDY, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-IDY/R/EN-010.jpg","1","Hairpin of Transience","1.68","1.87","shopify","g","3XFZDEFQEA","Title","Default Title"
