Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"spirit-of-wind-rec-shd","EN-001 Spirit of Wind (C)","<p>Spirit of Wind is a common card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/C/EN-001.jpg","1","Spirit of Wind","0.25","","shopify","g","LIAOHBKSGF","Title","Default Title"
"tristan-underhanded-rec-shd","EN-002 Tristan, Underhanded (C)","<p>Tristan, Underhanded is a common card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/C/EN-002.jpg","1","Tristan, Underhanded","0.26","0.29","shopify","g","7XGV4E1D36","Title","Default Title"
"tristan-hired-blade-rec-shd","EN-003 Tristan, Hired Blade (C)","<p>Tristan, Hired Blade is a common card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/C/EN-003.jpg","1","Tristan, Hired Blade","0.44","0.49","shopify","g","OGEANL0GX1","Title","Default Title"
"tristan-shadowdancer-rec-shd","EN-004 Tristan, Shadowdancer (SR)","<p>Tristan, Shadowdancer is a super rare card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/SR/EN-004.jpg","1","Tristan, Shadowdancer","2.95","3.28","shopify","g","Y68IXY5C8S","Title","Default Title"
"assassins-mantle-rec-shd","EN-005 Assassin's Mantle (R)","<p>Assassin's Mantle is a rare card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/R/EN-005.jpg","1","Assassin's Mantle","0.25","","shopify","g","3GU84WIOPO","Title","Default Title"
"curved-dagger-rec-shd","EN-006 Curved Dagger (U)","<p>Curved Dagger is an uncommon card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/U/EN-006.jpg","1","Curved Dagger","0.25","","shopify","g","RHCH2BAMOQ","Title","Default Title"
"life-essence-amulet-rec-shd","EN-007 Life Essence Amulet (C)","<p>Life Essence Amulet is a common card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Common, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/C/EN-007.jpg","1","Life Essence Amulet","0.25","0.26","shopify","g","K2C7WJLZJM","Title","Default Title"
"poisoned-dagger-rec-shd","EN-008 Poisoned Dagger (U)","<p>Poisoned Dagger is an uncommon card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/U/EN-008.jpg","1","Poisoned Dagger","0.25","","shopify","g","W3HRI8R76P","Title","Default Title"
"gearstride-gloves-rec-shd","EN-009 Gearstride Gloves (R)","<p>Gearstride Gloves is a rare card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/R/EN-009.jpg","1","Gearstride Gloves","0.26","0.29","shopify","g","DPFI0IQLYW","Title","Default Title"
"dusksoul-stone-rec-shd","EN-010 Dusksoul Stone (SR)","<p>Dusksoul Stone is a super rare card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/SR/EN-010.jpg","1","Dusksoul Stone","0.25","","shopify","g","CR8208KU90","Title","Default Title"
"malignant-athame-rec-shd","EN-011 Malignant Athame (SR)","<p>Malignant Athame is a super rare card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/SR/EN-011.jpg","1","Malignant Athame","0.25","","shopify","g","7NJ45S69F8","Title","Default Title"
"shadeblood-coating-rec-shd","EN-012 Shadeblood Coating (R)","<p>Shadeblood Coating is a rare card in Grand Archive's Re:Collection Shadowdancer set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: ReC-SHD, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/ReC-SHD/R/EN-012.jpg","1","Shadeblood Coating","0.25","0.27","shopify","g","U00Z3JNSDM","Title","Default Title"
