Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"allied-warpriestess-slc","CN-001 Allied Warpriestess (PR)","<p>Allied Warpriestess is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-001.jpg","1","Allied Warpriestess","","","shopify","g","XUM0TNX4SS","Title","Default Title"
"backstep-slc","CN-002 Backstep (PR)","<p>Backstep is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-002.jpg","1","Backstep","","","shopify","g","J9S8GQDPGJ","Title","Default Title"
"cremation-ritual-slc","CN-003 Cremation Ritual (PR)","<p>Cremation Ritual is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-003.jpg","1","Cremation Ritual","","","shopify","g","0SQMZXDS9D","Title","Default Title"
"force-load-slc","CN-004 Force Load (PR)","<p>Force Load is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-004.jpg","1","Force Load","","","shopify","g","AIKVABHOK5","Title","Default Title"
"healing-aura-slc","CN-005 Healing Aura (PR)","<p>Healing Aura is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-005.jpg","1","Healing Aura","","","shopify","g","GT7KG9U110","Title","Default Title"
"hypothermia-slc","CN-006 Hypothermia (PR)","<p>Hypothermia is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-006.jpg","1","Hypothermia","","","shopify","g","3TOTENNY02","Title","Default Title"
"imperial-recruit-slc","CN-007 Imperial Recruit (PR)","<p>Imperial Recruit is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-007.jpg","1","Imperial Recruit","","","shopify","g","XEOJ8WXCVY","Title","Default Title"
"increasing-danger-slc","CN-008 Increasing Danger (PR)","<p>Increasing Danger is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-008.jpg","1","Increasing Danger","","","shopify","g","8FU3UL4JI2","Title","Default Title"
"lurking-assailant-slc","CN-009 Lurking Assailant (PR)","<p>Lurking Assailant is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-009.jpg","1","Lurking Assailant","","","shopify","g","P1RUCU2YA8","Title","Default Title"
"navigate-the-streets-slc","CN-010 Navigate the Streets (PR)","<p>Navigate the Streets is a promotional rare card in Grand Archive's SquareLive Collaboration set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SLC, Rarity: Promotional Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SLC/PR/CN-010.jpg","1","Navigate the Streets","","","shopify","g","O3KFCKW6LC","Title","Default Title"
