Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Image Src,Image Position,Image Alt Text,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Weight Unit,Variant SKU,Option1 Name,Option1 Value
"aesan-protector-sp2","EN-001 Aesan Protector (R)","<p>Aesan Protector is a rare card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/R/EN-001.jpg","1","Aesan Protector","1.45","1.61","shopify","g","41T70U4BZZ","Title","Default Title"
"cell-assembler-sp2","EN-003 Cell Assembler (U)","<p>Cell Assembler is an uncommon card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/U/EN-003.jpg","1","Cell Assembler","0.25","","shopify","g","7ZXT64KZGK","Title","Default Title"
"combo-strike-sp2","EN-004 Combo Strike (U)","<p>Combo Strike is an uncommon card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/U/EN-004.jpg","1","Combo Strike","0.25","","shopify","g","HPR2GHOVRC","Title","Default Title"
"cometfall-sp2","EN-005 Cometfall (SR)","<p>Cometfall is a super rare card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/SR/EN-005.jpg","1","Cometfall","3.4","3.78","shopify","g","MZDRNF1887","Title","Default Title"
"corhazi-arsonist-sp2","EN-006 Corhazi Arsonist (R)","<p>Corhazi Arsonist is a rare card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/R/EN-006.jpg","1","Corhazi Arsonist","0.25","","shopify","g","A0V0LUU579","Title","Default Title"
"corhazi-trapper-sp2","EN-007 Corhazi Trapper (U)","<p>Corhazi Trapper is an uncommon card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/U/EN-007.jpg","1","Corhazi Trapper","0.25","","shopify","g","3LVQF34I25","Title","Default Title"
"creeping-torment-sp2","EN-008 Creeping Torment (U)","<p>Creeping Torment is an uncommon card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/U/EN-008.jpg","1","Creeping Torment","0.25","","shopify","g","FM1A1SAQP9","Title","Default Title"
"cremation-ritual-sp2","EN-009 Cremation Ritual (SR)","<p>Cremation Ritual is a super rare card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/SR/EN-009.jpg","1","Cremation Ritual","5.71","6.35","shopify","g","W8Y1J195HF","Title","Default Title"
"evasive-maneuvers-sp2","EN-010 Evasive Maneuvers (U)","<p>Evasive Maneuvers is an uncommon card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Uncommon, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/U/EN-010.jpg","1","Evasive Maneuvers","0.25","","shopify","g","VARMJR3DSJ","Title","Default Title"
"fairy-whispers-sp2","EN-011 Fairy Whispers (SR)","<p>Fairy Whispers is a super rare card in Grand Archive's Supporter Pack 2 set.<p>","Weebs of the Shore","Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards","Trading Card","Set: SP2, Rarity: Super Rare, Variant: Non-foil","FALSE","https://img.silvie.org/cdn/cards/SP2/SR/EN-011.jpg","1","Fairy Whispers","5.69","6.32","shopify","g","Q63NOBPTYR","Title","Default Title"
